# Saved on 2025-07-25T14:11:40.940683
# Name: Shreenidhi
# Sample_ID: GWC331_WGFMU_noise
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# wgfmu_readout:
#   num_read: 10
#   v_rd: 0.1
#   read_waveform: ReRAM_RTN_Evan
Time (s),Noise Readout 1uA,Noise Readout 10uA,Noise Readout 100uA,Noise Readout 1mA
7.3014400000e-01,3.3815904317e-05,1.0302116607e-05,1.5842859284e-05,7.7768227129e-06
7.4014400000e-01,-8.7481830633e-06,1.4679107153e-05,1.5280693333e-05,3.5099164961e-05
7.5014400000e-01,1.7277527149e-05,1.3302383195e-05,1.4480621758e-05,1.7763086362e-05
7.6014400000e-01,1.8621518393e-05,2.8915468647e-05,-2.6289760626e-06,1.0485699022e-05
7.7014400000e-01,1.3033696632e-05,1.2617642824e-05,3.9917977119e-05,1.4268346604e-05
7.8014400000e-01,3.3715339669e-05,1.0994100194e-05,1.4596231267e-05,8.3288214228e-06
7.9014400000e-01,-9.4153729151e-06,1.4583833945e-05,1.4988605471e-05,3.5773180571e-05
8.0014400000e-01,1.8058655769e-05,1.5008384253e-05,1.4900436327e-05,1.9354731194e-05
8.1014400000e-01,1.7978147298e-05,2.8804457543e-05,-3.9270021261e-06,1.0322174603e-05
8.2014400000e-01,1.3357402167e-05,1.2036253793e-05,3.9327955164e-05,1.4029327758e-05
8.3014400000e-01,3.2522893889e-05,1.0738506717e-05,1.5911389710e-05,9.2791851785e-06
8.4014400000e-01,-8.9061350081e-06,1.4984148038e-05,1.4887899852e-05,3.5249180655e-05
8.5014400000e-01,1.8605082005e-05,1.4193131392e-05,1.4905032913e-05,1.9598624931e-05
8.6014400000e-01,1.8821398044e-05,2.7941705412e-05,-3.3223525406e-06,1.1557102880e-05
8.7014400000e-01,1.3421614312e-05,9.8862028608e-06,3.9532013034e-05,1.4030581951e-05
8.8014400000e-01,3.2371070120e-05,9.0125877250e-06,1.6727617549e-05,9.8288155641e-06
8.9014400000e-01,-8.1974376371e-06,1.4679107153e-05,1.3879872313e-05,3.5072003811e-05
9.0014400000e-01,1.7676866264e-05,1.4426021153e-05,1.4573248336e-05,2.1133580958e-05
9.1014400000e-01,1.8978515072e-05,2.8828135328e-05,-4.3571239985e-06,1.2434339624e-05
9.2014400000e-01,1.3088158084e-05,9.8100117611e-06,3.9066930185e-05,1.3670939552e-05
9.3014400000e-01,3.2678617572e-05,8.6930604084e-06,1.5461488147e-05,9.5175064416e-06
9.4014400000e-01,-8.9831619334e-06,1.4776191165e-05,1.3377180949e-05,3.4417211282e-05
9.5014400000e-01,1.9134517061e-05,1.5024681488e-05,1.4923140043e-05,2.1569134333e-05
9.6014400000e-01,1.9806304408e-05,2.9121754778e-05,-4.5302590479e-06,1.3226749616e-05
9.7014400000e-01,1.3542098714e-05,8.5777301138e-06,3.9768801798e-05,1.3415206922e-05
9.8014400000e-01,3.1708892493e-05,7.6943642853e-06,1.5124550373e-05,1.0544896213e-05
9.9014400000e-01,-8.6559739430e-06,1.4466692846e-05,1.3728326849e-05,3.4646618587e-05
1.0001440000e+00,1.8662050934e-05,1.4427971109e-05,1.5495195839e-05,2.1126337742e-05
1.0101440000e+00,1.9878732928e-05,2.8859614758e-05,-4.3221625674e-06,1.1983881450e-05
1.0201440000e+00,1.3185659554e-05,6.8225599534e-06,3.9158720028e-05,1.3155156012e-05
1.0301440000e+00,3.1915038562e-05,8.8554706963e-06,1.6340536604e-05,1.0798539734e-05
1.0401440000e+00,-8.5686406237e-06,1.4092286619e-05,1.3628038687e-05,3.3012489439e-05
1.0501440000e+00,1.9881379558e-05,1.3652832422e-05,1.4945704606e-05,2.2602653189e-05
1.0601440000e+00,1.9910212359e-05,2.8457769076e-05,-4.7306948545e-06,1.2705672816e-05
1.0701440000e+00,1.2645639799e-05,5.5505806813e-06,3.9278784243e-05,1.2977285223e-05
1.0801440000e+00,3.1696079532e-05,9.3548178484e-06,1.4878010916e-05,1.1169742720e-05
1.0901440000e+00,-8.7190710474e-06,1.3750891412e-05,1.2589089238e-05,3.4308704926e-05
1.1001440000e+00,2.0297433366e-05,1.4654314327e-05,1.4928989913e-05,2.2002877813e-05
1.1101440000e+00,2.0582834622e-05,2.9025924960e-05,-4.3211875891e-06,1.2706508642e-05
1.1201440000e+00,1.1996696230e-05,4.3344557525e-06,3.8411857531e-05,1.2925191186e-05
1.1301440000e+00,3.1229879824e-05,1.0141935491e-05,1.5002534383e-05,1.1731492123e-05
1.1401440000e+00,-7.9173287304e-06,1.3951187611e-05,1.2333216546e-05,3.3409181924e-05
1.1501440000e+00,2.1091933377e-05,1.5298661310e-05,1.5398112737e-05,2.1827236196e-05
1.1601440000e+00,1.9932080249e-05,2.9218561394e-05,-4.7139801609e-06,1.4216949239e-05
1.1701440000e+00,1.3753397980e-05,3.8635225792e-06,3.8884460082e-05,1.3284136912e-05
1.1801440000e+00,3.0911327485e-05,9.0932353487e-06,1.3301269064e-05,1.2926305317e-05
1.1901440000e+00,-8.1725047494e-06,1.3794070583e-05,1.2151166629e-05,3.2827098039e-05
1.2001440000e+00,2.0813216906e-05,1.4553330402e-05,1.4960747649e-05,2.3148661057e-05
1.2101440000e+00,1.9926927052e-05,3.0500847060e-05,-4.7266553338e-06,1.3409216990e-05
1.2201440000e+00,1.3080914869e-05,3.1205597679e-06,3.7923513446e-05,1.3651857444e-05
1.2301440000e+00,3.1281138945e-05,9.2627487902e-06,1.3439303984e-05,1.3392084838e-05
1.2401440000e+00,-8.4028870333e-06,1.3841568034e-05,1.2210085515e-05,3.3079348214e-05
1.2501440000e+00,2.0827284970e-05,1.4784270206e-05,1.5362176782e-05,2.2292597350e-05
1.2601440000e+00,1.9534831154e-05,2.9443093808e-05,-4.4964122026e-06,1.3364923689e-05
1.2701440000e+00,1.3742394913e-05,1.8594448647e-06,3.7840080040e-05,1.4099808141e-05
1.2801440000e+00,3.0251381759e-05,9.4931310741e-06,1.2515962226e-05,1.2681575754e-05
1.2901440000e+00,-8.2638780441e-06,1.3834185665e-05,1.1357642506e-05,3.2522752008e-05
1.3001440000e+00,2.1140824174e-05,1.5060060832e-05,1.5331812392e-05,2.1742409444e-05
1.3101440000e+00,2.0265397325e-05,2.9399356208e-05,-3.6438295865e-06,1.2796627743e-05
1.3201440000e+00,1.3294305063e-05,1.1226106835e-06,3.9231566916e-05,1.4208035282e-05
1.3301440000e+00,3.0270324714e-05,9.5360319392e-06,1.2042661183e-05,1.2813064131e-05
1.3401440000e+00,-7.8269313235e-06,1.3309348105e-05,1.1536070815e-05,3.0881383282e-05
1.3501440000e+00,2.0333787688e-05,1.5823219655e-05,1.5653149603e-05,2.1834617655e-05
1.3601440000e+00,2.0188370399e-05,2.9600767448e-05,-4.0115501179e-06,1.2343802155e-05
1.3701440000e+00,1.3761616174e-05,-7.5128085086e-08,3.8487491111e-05,1.3889761249e-05
1.3801440000e+00,2.9426657420e-05,1.0998557627e-05,9.7382780950e-06,1.4531740817e-05
1.3901440000e+00,-8.3502363850e-06,1.2600788978e-05,1.0843251403e-05,3.1864339689e-05
1.4001440000e+00,2.0128616598e-05,1.5566512957e-05,1.5292253011e-05,2.0730061806e-05
1.4101440000e+00,2.0595649403e-05,2.9817221730e-05,-3.2095290408e-06,1.2968370356e-05
1.4201440000e+00,1.3495018720e-05,-4.0733030460e-07,3.8987254811e-05,1.4695404388e-05
1.4301440000e+00,3.0227145544e-05,1.2386703020e-05,9.4803172033e-06,1.4399974134e-05
1.4401440000e+00,-7.0981755016e-06,1.2524737940e-05,1.1283680578e-05,3.1362902519e-05
1.4501440000e+00,2.0527537345e-05,1.5296989659e-05,1.5518875443e-05,2.0213581593e-05
1.4601440000e+00,2.0698862500e-05,2.9939237720e-05,-2.7455603231e-06,1.0674573787e-05
1.4701440000e+00,1.3303219021e-05,-2.1872933758e-06,3.8542508264e-05,1.3933915398e-05
1.4801440000e+00,2.9097240258e-05,1.0585289601e-05,9.7559677670e-06,1.4874667613e-05
1.4901440000e+00,-7.1233866947e-06,1.1908108718e-05,9.7725433079e-06,3.1408308132e-05
1.5001440000e+00,2.0845811378e-05,1.5667217667e-05,1.5772100596e-05,1.9539846107e-05
1.5101440000e+00,2.0784385924e-05,2.9636563340e-05,-2.7372029763e-06,1.1221697605e-05
1.5201440000e+00,1.4550126252e-05,-1.7660861431e-06,3.7542697100e-05,1.4966180061e-05
1.5301440000e+00,2.9276921850e-05,1.1957974493e-05,8.8700953711e-06,1.4878010916e-05
1.5401440000e+00,-7.9807050497e-06,1.0936713807e-05,1.0270080566e-05,3.0033814255e-05
1.5501440000e+00,2.0387135010e-05,1.5927686036e-05,1.6339421563e-05,1.8710941731e-05
1.5601440000e+00,2.0959330868e-05,2.9191678550e-05,-1.7075850565e-06,9.9449816844e-06
1.5701440000e+00,1.4140759049e-05,-2.9636855743e-06,3.7885904021e-05,1.4528119209e-05
1.5801440000e+00,2.8000486054e-05,1.1871058632e-05,8.5493147708e-06,1.4636763808e-05
1.5901440000e+00,-7.7288723332e-06,1.0681120330e-05,1.0626379662e-05,3.0214192520e-05
1.6001440000e+00,1.9617289581e-05,1.6083131413e-05,1.5848292605e-05,1.7123893485e-05
1.6101440000e+00,2.1226624085e-05,2.8942629797e-05,-1.6286087430e-06,9.5215464171e-06
1.6201440000e+00,1.3766491065e-05,-3.5225095871e-06,3.7310088373e-05,1.4845278201e-05
1.6301440000e+00,2.7793921618e-05,1.3465490156e-05,8.8496199169e-06,1.5414967493e-05
1.6401440000e+00,-7.8373777797e-06,1.0716637917e-05,9.3978578661e-06,2.9443372114e-05
1.6501440000e+00,1.9540542780e-05,1.6446952941e-05,1.6247491658e-05,1.6683325157e-05
1.6601440000e+00,2.0917126676e-05,2.8731470593e-05,-1.2224444390e-06,9.6998346635e-06
1.6701440000e+00,1.4207616914e-05,-3.4981339923e-06,3.8585269067e-05,1.4991252101e-05
1.6801440000e+00,2.7610478355e-05,1.3350577319e-05,8.5412366388e-06,1.4601662770e-05
1.6901440000e+00,-6.7792057052e-06,1.0130235751e-05,8.6752315838e-06,2.9187638575e-05
1.7001440000e+00,1.9153600078e-05,1.6195537683e-05,1.4905032913e-05,1.5296014681e-05
1.7101440000e+00,2.1556459615e-05,2.8012882467e-05,-1.2855419982e-06,9.1273604994e-06
1.7201440000e+00,1.4242577890e-05,-3.8073537780e-06,3.6655434087e-05,1.5028023881e-05
1.7301440000e+00,2.6852054361e-05,1.4057603948e-05,7.0266169132e-06,1.4783573533e-05
1.7401440000e+00,-7.7049144238e-06,9.2415766630e-06,8.7161824922e-06,2.9272325264e-05
1.7501440000e+00,1.7980097255e-05,1.6911479179e-05,1.5542414985e-05,1.3163094991e-05
1.7601440000e+00,2.0795945602e-05,2.8328369808e-05,-7.1195347573e-07,9.4257156888e-06
1.7701440000e+00,1.4959772670e-05,-4.0799404815e-06,3.7806232285e-05,1.4942362213e-05
1.7801440000e+00,2.6272617106e-05,1.4435910089e-05,7.6979858932e-06,1.4460564671e-05
1.7901440000e+00,-6.9108327807e-06,8.7019743660e-06,7.6470059867e-06,2.8807104172e-05
1.8001440000e+00,1.7195068722e-05,1.6790436348e-05,1.4988883777e-05,1.1712827472e-05
1.8101440000e+00,1.9673423594e-05,2.8045196814e-05,-1.8224065457e-07,9.0054836619e-06
1.8201440000e+00,1.4523244317e-05,-5.0147032198e-06,3.6946406908e-05,1.4889154045e-05
1.8301440000e+00,2.5190625820e-05,1.4365430616e-05,8.0530317064e-06,1.4805302271e-05
1.8401440000e+00,-7.1594622568e-06,8.3466502474e-06,7.6120450103e-06,2.8182535971e-05
1.8501440000e+00,1.6590280211e-05,1.6678310203e-05,1.4778976947e-05,1.0597407709e-05
1.8601440000e+00,2.0207453417e-05,2.6950252504e-05,9.3410562840e-08,8.9128570835e-06
1.8701440000e+00,1.4466971152e-05,-6.1641089815e-06,3.7334462831e-05,1.5390034605e-05
1.8801440000e+00,2.5684959837e-05,1.4300243492e-05,7.2909856499e-06,1.4306929188e-05
1.8901440000e+00,-6.8877111516e-06,7.4376562225e-06,7.0345563472e-06,2.8592599847e-05
1.9001440000e+00,1.5439063645e-05,1.5540743334e-05,1.4878289221e-05,9.0152334451e-06
1.9101440000e+00,1.9221850380e-05,2.6077474104e-05,6.1198028334e-07,9.3740400189e-06
1.9201440000e+00,1.4538287360e-05,-5.9362337197e-06,3.6022091081e-05,1.4600409486e-05
1.9301440000e+00,2.4787943403e-05,1.4645956981e-05,7.8617886174e-06,1.4598181224e-05
1.9401440000e+00,-6.4283385655e-06,6.8228382588e-06,6.9073862505e-06,2.9418577469e-05
1.9501440000e+00,1.3469250916e-05,1.6691124983e-05,1.5335850549e-05,8.1524831330e-06
1.9601440000e+00,2.0880772354e-05,2.6689924198e-05,2.3297728546e-07,8.4890034486e-06
1.9701440000e+00,1.4196892153e-05,-6.6585821514e-06,3.7374298699e-05,1.3983781173e-05
1.9801440000e+00,2.4313529138e-05,1.5948440705e-05,7.9455012383e-06,1.4572830878e-05
1.9901440000e+00,-6.9729553616e-06,6.3819916249e-06,7.1947379183e-06,2.9035118132e-05
2.0001440000e+00,1.3811341887e-05,1.5993708075e-05,1.5433073713e-05,7.7141430666e-06
2.0101440000e+00,1.9598206563e-05,2.6699812224e-05,1.1214963251e-06,9.7994261523e-06
2.0201440000e+00,1.4217088392e-05,-7.4851177487e-06,3.7161047658e-05,1.4279211427e-05
2.0301440000e+00,2.4002498321e-05,1.5589215764e-05,9.1089750640e-06,1.4959216060e-05
2.0401440000e+00,-7.0761680036e-06,5.6167423281e-06,7.4221952673e-06,2.9542961784e-05
2.0501440000e+00,1.1819661268e-05,1.6605183191e-05,1.5276513295e-05,6.0495108301e-06
2.0601440000e+00,2.0147141186e-05,2.5965486202e-05,1.9038777737e-06,9.8465052361e-06
2.0701440000e+00,1.4869375264e-05,-7.7675940702e-06,3.6313340388e-05,1.4083093447e-05
2.0801440000e+00,2.3271792088e-05,1.4832881789e-05,8.9517179731e-06,1.5171908672e-05
2.0901440000e+00,-6.3423976826e-06,5.7766451391e-06,6.5723984335e-06,2.9189588531e-05
2.1001440000e+00,1.1432440260e-05,1.6862031771e-05,1.4881353309e-05,4.0078252823e-06
2.1101440000e+00,1.8499224097e-05,2.5706409360e-05,2.1480498162e-06,9.6597195807e-06
2.1201440000e+00,1.3994924302e-05,-8.5364645201e-06,3.5851739085e-05,1.4035456843e-05
2.1301440000e+00,2.3338510800e-05,1.6018919268e-05,9.9281278381e-06,1.5756500943e-05
2.1401440000e+00,-5.9844273892e-06,5.5866562434e-06,6.6225420596e-06,2.9008653655e-05
2.1501440000e+00,9.6654312074e-06,1.6522586520e-05,1.5125107893e-05,3.3598566915e-06
2.1601440000e+00,1.9548759155e-05,2.5237008231e-05,3.2310151710e-06,1.0271613064e-05
2.1701440000e+00,1.5099060874e-05,-6.9364618867e-06,3.6025572626e-05,1.3722616131e-05
2.1801440000e+00,2.2020845790e-05,1.5528625227e-05,1.1882897525e-05,1.5363011698e-05
2.1901440000e+00,-5.8206246649e-06,4.9645955187e-06,7.5525690590e-06,2.9199896744e-05
2.2001440000e+00,9.2082873380e-06,1.6380372472e-05,1.4901133000e-05,2.2575304683e-06
2.2101440000e+00,1.9326038455e-05,2.5862273105e-05,3.8055786717e-06,1.0415637007e-05
2.2201440000e+00,1.4990416275e-05,-8.6689278760e-06,3.5104600101e-05,1.3568144823e-05
2.2301440000e+00,2.1801328330e-05,1.6362404494e-05,1.3326897715e-05,1.5125386199e-05
2.2401440000e+00,-6.0227316681e-06,5.7469769672e-06,7.2327634371e-06,2.9641996662e-05
2.2501440000e+00,8.6780173660e-06,1.6015437723e-05,1.4934422325e-05,1.8455160671e-06
2.2601440000e+00,1.9265587980e-05,2.5328939955e-05,5.0912080951e-06,1.0304206626e-05
2.2701440000e+00,1.5091957721e-05,-9.5035420600e-06,3.6206227378e-05,1.2660543689e-05
2.2801440000e+00,2.0643981770e-05,1.5407165847e-05,1.4843884856e-05,1.5009220078e-05
2.2901440000e+00,-6.0803968154e-06,5.1265874390e-06,8.3401037045e-06,2.8866301363e-05
2.3001440000e+00,8.5718793343e-06,1.5887431800e-05,1.5014930796e-05,3.9315864342e-07
2.3101440000e+00,1.8811368136e-05,2.4588065571e-05,4.5042479542e-06,1.1017222278e-05
2.3201440000e+00,1.4732176169e-05,-9.7566289696e-06,3.5355176806e-05,1.3443482203e-05
2.3301440000e+00,2.0813356969e-05,1.4827588529e-05,1.5252974663e-05,1.5828931282e-05
2.3401440000e+00,-5.2498216974e-06,5.1437200455e-06,8.7735688794e-06,2.8913937058e-05
2.3501440000e+00,7.8030088844e-06,1.6084943127e-05,1.4831906810e-05,-7.8201537690e-07
2.3601440000e+00,1.9137301933e-05,2.4641831260e-05,5.6114495237e-06,9.5879868240e-06
2.3701440000e+00,1.6053463696e-05,-9.4683027783e-06,3.5822489735e-05,1.2861397408e-05
2.3801440000e+00,2.0143659640e-05,1.6445977963e-05,1.7085589207e-05,1.5352565242e-05
2.3901440000e+00,-5.5775667533e-06,6.1952059696e-06,8.9441964519e-06,3.0106104532e-05
2.4001440000e+00,6.9511229412e-06,1.5850939235e-05,1.4419195395e-05,-6.8660301622e-07
2.4101440000e+00,1.8983111659e-05,2.3752476409e-05,5.8235855249e-06,1.1857268873e-05
2.4201440000e+00,1.6048170437e-05,-9.9201533885e-06,3.4904162021e-05,1.2579896065e-05
2.4301440000e+00,1.9880404579e-05,1.4759337319e-05,1.7552481950e-05,1.6528158085e-05
2.4401440000e+00,-5.0457647376e-06,5.3125372688e-06,8.6143627414e-06,2.9279430237e-05
2.4501440000e+00,7.0617174970e-06,1.5930054360e-05,1.4028213627e-05,-1.4661986825e-06
2.4601440000e+00,1.9479393814e-05,2.4999382731e-05,7.4259560279e-06,1.1167096091e-05
2.4701440000e+00,1.6302370568e-05,-1.1123323929e-05,3.5719414882e-05,1.1110684682e-05
2.4801440000e+00,1.8803708372e-05,1.5884088498e-05,1.9469365725e-05,1.6074913219e-05
2.4901440000e+00,-3.9850856410e-06,6.1750092755e-06,9.9612789199e-06,2.8929955079e-05
2.5001440000e+00,5.8160635490e-06,1.6370900994e-05,1.4128501789e-05,-2.3981756385e-06
2.5101440000e+00,1.8233322407e-05,2.4713564926e-05,7.8681960076e-06,1.2562623851e-05
2.5201440000e+00,1.6372432583e-05,-1.0618404303e-05,3.4781449358e-05,1.1081434423e-05
2.5301440000e+00,1.8585582438e-05,1.5550493117e-05,1.9543187591e-05,1.6407395378e-05
2.5401440000e+00,-4.0424720282e-06,6.6101456468e-06,1.0657998246e-05,2.8635082344e-05
2.5501440000e+00,5.7372267293e-06,1.6999090803e-05,1.3941855286e-05,-2.7452817903e-06
2.5601440000e+00,1.8440443455e-05,2.4956065317e-05,8.8951674115e-06,1.3525801478e-05
2.5701440000e+00,1.6161411622e-05,-1.1279605133e-05,3.4285862057e-05,9.4204233392e-06
2.5801440000e+00,1.7654163457e-05,1.6534842871e-05,2.1378169549e-05,1.5451460058e-05
2.5901440000e+00,-3.9140486479e-06,7.1291328823e-06,9.5935583886e-06,2.8652075343e-05
2.6001440000e+00,6.1174832808e-06,1.6641537513e-05,1.2880479517e-05,-3.6240505779e-06
2.6101440000e+00,1.8157410523e-05,2.5153158276e-05,9.3406106316e-06,1.2620289453e-05
2.6201440000e+00,1.6510468413e-05,-1.1232107681e-05,3.3005806472e-05,9.3942371677e-06
2.6301440000e+00,1.7398986529e-05,1.5017855731e-05,2.0674486223e-05,1.6383019101e-05
2.6401440000e+00,-4.2955584831e-06,7.4423919614e-06,1.0735860087e-05,2.7730962756e-05
2.6501440000e+00,6.5399440246e-06,1.6624822820e-05,1.3237056919e-05,-4.3313557399e-06
2.6601440000e+00,1.7779939299e-05,2.5047855161e-05,1.0119788385e-05,1.5083461221e-05
2.6701440000e+00,1.6436784790e-05,-1.1635765077e-05,3.4961689380e-05,8.9411323643e-06
