# Saved on 2025-06-25T13:30:54.389824
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -5
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 11
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S),Conductance_Target_8 (S),Conductance_Target_9 (S),Conductance_Target_10 (S),Conductance_Target_11 (S)
1.7144000000e-02,3.8647849578e-04,4.9400099670e-04,5.8352859924e-04,6.5536303737e-04,7.7728451288e-04,8.2620521425e-04,9.5326664450e-04,1.0279848357e-03,1.0953553283e-03,1.2179011537e-03,1.3074142043e-03
1.8144000000e-02,3.9044745790e-04,4.9100013712e-04,5.8043020545e-04,6.4741238020e-04,7.7236443758e-04,8.3514743892e-04,9.4534807431e-04,1.0323776951e-03,1.1033772898e-03,1.2141812476e-03,1.2913443788e-03
1.9144000000e-02,3.9243201172e-04,4.8711553973e-04,5.8905690821e-04,6.4873980591e-04,7.6065261965e-04,8.3625891421e-04,9.4754876045e-04,1.0238462710e-03,1.0914013546e-03,1.2191924179e-03,1.2933461403e-03
2.0144000000e-02,3.9364724216e-04,4.9365589803e-04,5.8560137404e-04,6.4558793383e-04,7.6625510701e-04,8.4141393017e-04,9.4708011602e-04,1.0146012210e-03,1.1083311983e-03,1.1970217747e-03,1.2892531231e-03
2.1144000000e-02,3.8502617826e-04,4.9231035518e-04,5.8366546000e-04,6.4577907324e-04,7.6669275586e-04,8.3669852756e-04,9.4329989224e-04,1.0271809151e-03,1.0959731298e-03,1.2172956485e-03,1.2967482326e-03
2.2144000000e-02,3.8972830225e-04,4.9368871260e-04,5.7388955611e-04,6.5081134380e-04,7.6483105659e-04,8.3456936409e-04,9.4735776656e-04,1.0466374079e-03,1.1059248936e-03,1.2054610124e-03,1.2936186977e-03
2.3144000000e-02,3.9035909140e-04,4.8456015065e-04,5.7830002334e-04,6.4737047069e-04,7.6568539953e-04,8.3416671259e-04,9.4054288638e-04,1.0297192057e-03,1.1020094098e-03,1.2227665866e-03,1.2821993732e-03
2.4144000000e-02,4.0086149966e-04,4.9127338571e-04,5.7344535890e-04,6.4781102992e-04,7.6390082540e-04,8.2960148575e-04,9.4466682640e-04,1.0339979053e-03,1.0979595390e-03,1.2168100511e-03,1.2956545106e-03
2.5144000000e-02,3.9850347093e-04,4.9029837101e-04,5.7906880102e-04,6.4890307840e-04,7.7045646321e-04,8.3016668214e-04,9.4133312814e-04,1.0201035911e-03,1.1002432439e-03,1.2201298523e-03,1.2885824253e-03
2.6144000000e-02,4.0370872739e-04,4.9654157920e-04,5.8141104091e-04,6.5862375777e-04,7.6137213910e-04,8.2717640908e-04,9.5731433248e-04,1.0325556650e-03,1.1004292901e-03,1.2171966955e-03,1.2934912229e-03
2.7144000000e-02,4.0040235035e-04,4.9865619076e-04,5.7905097492e-04,6.5579006332e-04,7.7331453213e-04,8.3702485426e-04,9.4620379969e-04,1.0345721967e-03,1.1065794388e-03,1.2086959759e-03,1.2933372636e-03
2.8144000000e-02,4.0078532038e-04,5.0093309255e-04,5.8103301853e-04,6.6024396801e-04,7.6488213381e-04,8.2965787442e-04,9.4658294984e-04,1.0275169188e-03,1.0927370022e-03,1.2140940817e-03,1.3066026440e-03
2.9144000000e-02,3.9721500798e-04,4.9828198826e-04,5.7759218180e-04,6.4496067353e-04,7.6516764238e-04,8.3204562543e-04,9.4101225841e-04,1.0263873992e-03,1.1114868539e-03,1.2167794921e-03,1.2932876416e-03
3.0144000000e-02,3.9874179492e-04,4.9429065257e-04,5.8410867496e-04,6.5461499617e-04,7.5744712376e-04,8.3267426817e-04,9.4681170594e-04,1.0304314492e-03,1.1040289974e-03,1.2137245358e-03,1.2948892254e-03
3.1144000000e-02,3.9763021050e-04,4.9850888900e-04,5.8528330555e-04,6.5086263930e-04,7.6527809142e-04,8.4395142039e-04,9.4820730737e-04,1.0306492914e-03,1.1098181130e-03,1.2064928160e-03,1.2716355559e-03
3.2144000000e-02,3.9197198930e-04,4.9978574680e-04,5.8845889725e-04,6.5216168878e-04,7.6683892985e-04,8.3638326032e-04,9.4363043900e-04,1.0302839655e-03,1.0980192019e-03,1.2162575877e-03,1.2887797493e-03
3.3144000000e-02,3.9048027247e-04,4.9728700105e-04,5.7535049564e-04,6.5349166107e-04,7.7125834650e-04,8.4467959823e-04,9.5109098766e-04,1.0400122119e-03,1.1027425353e-03,1.2126866932e-03,1.2682132365e-03
3.4144000000e-02,3.8846741518e-04,4.8672140110e-04,5.8227662521e-04,6.5227184677e-04,7.7014308772e-04,8.2862025010e-04,9.4536051620e-04,1.0330719670e-03,1.1093211651e-03,1.2088541553e-03,1.2649013661e-03
3.5144000000e-02,3.9931703213e-04,4.9069902161e-04,5.8136578446e-04,6.5084139351e-04,7.7152944868e-04,8.3492916019e-04,9.4931267085e-04,1.0149433365e-03,1.1003972031e-03,1.2084658374e-03,1.2830739433e-03
3.6144000000e-02,3.9073740481e-04,4.8515983508e-04,5.8682468079e-04,6.4668667619e-04,7.7237615187e-04,8.3553786681e-04,9.4583199825e-04,1.0162968101e-03,1.0999110236e-03,1.2119276653e-03,1.2699894432e-03
3.7144000000e-02,3.9520189603e-04,5.0075781473e-04,5.8290206653e-04,6.5314590756e-04,7.6558120782e-04,8.3158673078e-04,9.5270697784e-04,1.0235960508e-03,1.0942845984e-03,1.2094983686e-03,1.2746597349e-03
3.8144000000e-02,3.9192957047e-04,4.9046306231e-04,5.8430599893e-04,6.5172396717e-04,7.7266311564e-04,8.3373146481e-04,9.4711591373e-04,1.0198650853e-03,1.1054214701e-03,1.2080910528e-03,1.2675957987e-03
3.9144000000e-02,3.9499052946e-04,4.9317441153e-04,5.8258752688e-04,6.4970168751e-04,7.6935226389e-04,8.3150924183e-04,9.4668881502e-04,1.0174055205e-03,1.0985988047e-03,1.2137401791e-03,1.2828881154e-03
4.0144000000e-02,3.9389138692e-04,4.9087557272e-04,5.7587185438e-04,6.4230873249e-04,7.6976648415e-04,8.3508864918e-04,9.3652924988e-04,1.0252989887e-03,1.1006905697e-03,1.1958603864e-03,1.2754119234e-03
4.1144000000e-02,3.9517475670e-04,4.9110883992e-04,5.7566601754e-04,6.5244625148e-04,7.5735923019e-04,8.3183935203e-04,9.4384857221e-04,1.0238571122e-03,1.1001387611e-03,1.2043483730e-03,1.2689846335e-03
4.2144000000e-02,4.0220154915e-04,4.9312395277e-04,5.7981254940e-04,6.4935578848e-04,7.6045384048e-04,8.4693645476e-04,9.3908238341e-04,1.0175467469e-03,1.1138618720e-03,1.2024403259e-03,1.2650023564e-03
4.3144000000e-02,4.0022576286e-04,4.9578142352e-04,5.8188081312e-04,6.5790176450e-04,7.5971787737e-04,8.3101629571e-04,9.4117822300e-04,1.0268772166e-03,1.1043228733e-03,1.2037507986e-03,1.2734092888e-03
4.4144000000e-02,3.9663933421e-04,5.0066435506e-04,5.7336335885e-04,6.5663720306e-04,7.7222444816e-04,8.2813705376e-04,9.4597940915e-04,1.0331265366e-03,1.1070621258e-03,1.2068776414e-03,1.2707275164e-03
4.5144000000e-02,3.9579917939e-04,4.9400608987e-04,5.7961038692e-04,6.5943873778e-04,7.6592921687e-04,8.2399164967e-04,9.4480834377e-04,1.0302184091e-03,1.0911129357e-03,1.2179158512e-03,1.2797136151e-03
4.6144000000e-02,4.0471808461e-04,4.9700920499e-04,5.8114088461e-04,6.5770880610e-04,7.6923846791e-04,8.3207996795e-04,9.4908857136e-04,1.0314022074e-03,1.1049088789e-03,1.2127579976e-03,1.2734990742e-03
4.7144000000e-02,3.9812643081e-04,4.9630845751e-04,5.9099169448e-04,6.5319451096e-04,7.6741474913e-04,8.2577826106e-04,9.4583832833e-04,1.0130649025e-03,1.1002521205e-03,1.2251151202e-03,1.2766262807e-03
4.8144000000e-02,3.9823880797e-04,5.0447681133e-04,5.8661797084e-04,6.5672480559e-04,7.6640906627e-04,8.3240884123e-04,9.5199669886e-04,1.0277938418e-03,1.0979871149e-03,1.2087420328e-03,1.2832635548e-03
4.9144000000e-02,3.8900987420e-04,5.0062928494e-04,5.9035017330e-04,6.5507236286e-04,7.6902171713e-04,8.3505045041e-04,9.4971765066e-04,1.0247735190e-03,1.1030204769e-03,1.2202472135e-03,1.2748983863e-03
5.0144000000e-02,3.9391710743e-04,4.9781516282e-04,5.8486908529e-04,6.5294065280e-04,7.6895426901e-04,8.3742801507e-04,9.5031668025e-04,1.0245555313e-03,1.0999692313e-03,1.2145567598e-03,1.2779203826e-03
5.1144000000e-02,3.8536491047e-04,4.9227841373e-04,5.8378987887e-04,6.4366162405e-04,7.7448508819e-04,8.3774793893e-04,9.3253569503e-04,1.0254117660e-03,1.1067427113e-03,1.2131379481e-03,1.2716143101e-03
5.2144000000e-02,3.8989088353e-04,4.9017355195e-04,5.8519592130e-04,6.4694919274e-04,7.6220698247e-04,8.2792794274e-04,9.4637442089e-04,1.0233031207e-03,1.0968673450e-03,1.2160778715e-03,1.2764343410e-03
5.3144000000e-02,3.9485905290e-04,4.8657904699e-04,5.8538254962e-04,6.4261745138e-04,7.6607597293e-04,8.3687991719e-04,9.4520008133e-04,1.0229892359e-03,1.1042797996e-03,1.2112341210e-03,1.2638092448e-03
5.4144000000e-02,3.9255683077e-04,4.9023376050e-04,5.8597714087e-04,6.5617998189e-04,7.6827855082e-04,8.3500199253e-04,9.5088893431e-04,1.0201575788e-03,1.1022567924e-03,1.2125573267e-03,1.2729446462e-03
5.5144000000e-02,3.9021277189e-04,4.9444559409e-04,5.8091991377e-04,6.4823172579e-04,7.7825643530e-04,8.3355967945e-04,9.4134687970e-04,1.0248727631e-03,1.0964141984e-03,1.2079744192e-03,1.2855956447e-03
5.6144000000e-02,3.9149868826e-04,4.8980669817e-04,5.7915007346e-04,6.5013002313e-04,7.6796866779e-04,8.2340819063e-04,9.4427043223e-04,1.0175668285e-03,1.0858592577e-03,1.2234367023e-03,1.2919225264e-03
5.7144000000e-02,3.9921003918e-04,4.9103928177e-04,5.7484492572e-04,6.4862033469e-04,7.6826407167e-04,8.2913647930e-04,9.4840026577e-04,1.0289245256e-03,1.0992650641e-03,1.2100578169e-03,1.2736968347e-03
5.8144000000e-02,4.0300765249e-04,4.9182897783e-04,5.8858146076e-04,6.4661348006e-04,7.5388816185e-04,8.2316604676e-04,9.4055430964e-04,1.0154319170e-03,1.0879079491e-03,1.2113653065e-03,1.2752285693e-03
5.9144000000e-02,4.0425595216e-04,5.0048267440e-04,5.8101573813e-04,6.4837309765e-04,7.5565243606e-04,8.3564293163e-04,9.4573668321e-04,1.0226616723e-03,1.0938526975e-03,1.2059239816e-03,1.2977591541e-03
6.0144000000e-02,3.8924299588e-04,4.9680493248e-04,5.8094494307e-04,6.4906555053e-04,7.5337753515e-04,8.2743921666e-04,9.4432834885e-04,1.0297058907e-03,1.0903667862e-03,1.2190855341e-03,1.2947715004e-03
6.1144000000e-02,4.0151971916e-04,5.0222944992e-04,5.7655182900e-04,6.5570144216e-04,7.5356882007e-04,8.3059203462e-04,9.4722759968e-04,1.0419740283e-03,1.0906544776e-03,1.2098079605e-03,1.2978726591e-03
6.2144000000e-02,3.9460133848e-04,4.8921858252e-04,5.8116078435e-04,6.4778752858e-04,7.5946023571e-04,8.3415230620e-04,9.3790375104e-04,1.0351897799e-03,1.0961366934e-03,1.2152940326e-03,1.2895063264e-03
6.3144000000e-02,4.0002134483e-04,4.9566660891e-04,5.8112869738e-04,6.4872707298e-04,7.5147341704e-04,8.2985156041e-04,9.4484748843e-04,1.0378294974e-03,1.0927978292e-03,1.2150085968e-03,1.3020528422e-03
6.4144000000e-02,3.9676302549e-04,4.9991354899e-04,5.8346275182e-04,6.4987485530e-04,7.5596588431e-04,8.3410712250e-04,9.4489681942e-04,1.0368756193e-03,1.1002504471e-03,1.2150945258e-03,1.2909139332e-03
6.5144000000e-02,3.9752376324e-04,5.0019585615e-04,5.8869656641e-04,6.5948224801e-04,7.5601761637e-04,8.3105362137e-04,9.5518167655e-04,1.0299371934e-03,1.0968958668e-03,1.2200443598e-03,1.2940024317e-03
6.6144000000e-02,3.9625876525e-04,4.9779340770e-04,5.8754452766e-04,6.5040781919e-04,7.6650248957e-04,8.3644634287e-04,9.4616123533e-04,1.0262511205e-03,1.0967648268e-03,1.1990033090e-03,1.2924027396e-03
6.7144000000e-02,3.8914713514e-04,4.9413869419e-04,5.8524299675e-04,6.5185224230e-04,7.6127944340e-04,8.2103542809e-04,9.5277719083e-04,1.0153210314e-03,1.0845412180e-03,1.2155264267e-03,1.2779895042e-03
6.8144000000e-02,3.8963047700e-04,4.9243222747e-04,5.8307072322e-04,6.4375963120e-04,7.6610849646e-04,8.3123639342e-04,9.3735245173e-04,1.0255198140e-03,1.0911993741e-03,1.2086024071e-03,1.2695627811e-03
6.9144000000e-02,3.9196875150e-04,4.8871206673e-04,5.8930698287e-04,6.4546198701e-04,7.5080613897e-04,8.2951904915e-04,9.4372204330e-04,1.0248513718e-03,1.1075630027e-03,1.2129393144e-03,1.2712414900e-03
7.0144000000e-02,3.9394537453e-04,4.9616355682e-04,5.8654899476e-04,6.4285428380e-04,7.5860567449e-04,8.3733044448e-04,9.4676724984e-04,1.0282324365e-03,1.1075200018e-03,1.2008378690e-03,1.2883903401e-03
7.1144000000e-02,3.8498023059e-04,4.9413290981e-04,5.8618439652e-04,6.4394422225e-04,7.5584641309e-04,8.3349215856e-04,9.4376104244e-04,1.0269586346e-03,1.0937003390e-03,1.2129343668e-03,1.2962303299e-03
7.2144000000e-02,3.9135618863e-04,4.9241029046e-04,5.7455341448e-04,6.5069536504e-04,7.5603755249e-04,8.3492886915e-04,9.4858078228e-04,1.0416729492e-03,1.0970285075e-03,1.2110002717e-03,1.2945120397e-03
7.3144000000e-02,3.9284666855e-04,4.8501322453e-04,5.7955654484e-04,6.4581596234e-04,7.5876894698e-04,8.3235703642e-04,9.4958675618e-04,1.0307215416e-03,1.0987632413e-03,1.2151093688e-03,1.2864699238e-03
7.4144000000e-02,4.0050454118e-04,4.9241836678e-04,5.7426179410e-04,6.4757165092e-04,7.6017407991e-04,8.2749647845e-04,9.4294999144e-04,1.0313082021e-03,1.0958713392e-03,1.1970844935e-03,1.2955414422e-03
7.5144000000e-02,4.0060098399e-04,4.9193458835e-04,5.8007633925e-04,6.4838357503e-04,7.5668627687e-04,8.3002079919e-04,9.3985894637e-04,1.0280990682e-03,1.0982133244e-03,1.2071930541e-03,1.2915962725e-03
7.6144000000e-02,4.0685674321e-04,4.9632908485e-04,5.8113364503e-04,6.5822634497e-04,7.5099218520e-04,8.2660735643e-04,9.5538292953e-04,1.0330889199e-03,1.0935743921e-03,1.2123084161e-03,1.2969366799e-03
7.7144000000e-02,4.0142189391e-04,4.9791116908e-04,5.7976405515e-04,6.5451320552e-04,7.6271899161e-04,8.3566825197e-04,9.4338924100e-04,1.0302790179e-03,1.1019268277e-03,1.2108663213e-03,1.2884257012e-03
7.8144000000e-02,3.9773582102e-04,5.0206857850e-04,5.8085417550e-04,6.5893545980e-04,7.5782205386e-04,8.2437261881e-04,9.4464121503e-04,1.0185455903e-03,1.0879219917e-03,1.2104582856e-03,1.3026212400e-03
7.9144000000e-02,4.0067418013e-04,5.0040507631e-04,5.7992961956e-04,6.4407300670e-04,7.5769014074e-04,8.3028498921e-04,9.4032700872e-04,1.0390258831e-03,1.0984914115e-03,1.2072898971e-03,1.2938540021e-03
8.0144000000e-02,4.0019269363e-04,4.9578284234e-04,5.8457630075e-04,6.5209584136e-04,7.4856841820e-04,8.3067643573e-04,9.4883522252e-04,1.0332337843e-03,1.0984537948e-03,1.2031966617e-03,1.2738229998e-03
8.1144000000e-02,3.9814862248e-04,4.9863738241e-04,5.8507393987e-04,6.5001317125e-04,7.5576637755e-04,8.4184262960e-04,9.4601418823e-04,1.0273304360e-03,1.1045474093e-03,1.1925768922e-03,1.2557709124e-03
8.2144000000e-02,3.9073445805e-04,4.9810256314e-04,5.8782883571e-04,6.4952640969e-04,7.5534197094e-04,8.3775696112e-04,9.4141527370e-04,1.0344548355e-03,1.0925248353e-03,1.2010973296e-03,1.2722802057e-03
8.3144000000e-02,3.9038681280e-04,4.9742739066e-04,5.7503650169e-04,6.4935731643e-04,7.6148324297e-04,8.4110761236e-04,9.4819937658e-04,1.0420635226e-03,1.0978748469e-03,1.2187621178e-03,1.2704827532e-03
8.4144000000e-02,3.8668840716e-04,4.8633362894e-04,5.8316669310e-04,6.4918400312e-04,7.6118951256e-04,8.2694976300e-04,9.4711664133e-04,1.0337235290e-03,1.0923847731e-03,1.2082913599e-03,1.2735137716e-03
8.5144000000e-02,3.9965125325e-04,4.8949255870e-04,5.8349185565e-04,6.5114196332e-04,7.6789430750e-04,8.3474384155e-04,9.5033465186e-04,1.0349395598e-03,1.0935906175e-03,1.1929283937e-03,1.2792980124e-03
8.6144000000e-02,3.9326863771e-04,4.8349746066e-04,5.8807185269e-04,6.4465210016e-04,7.6423842984e-04,8.3027734945e-04,9.4223752967e-04,1.0252660286e-03,1.0920980276e-03,1.2075180712e-03,1.2732351024e-03
8.7144000000e-02,3.9405651478e-04,4.9742950068e-04,5.8352197811e-04,6.5256572270e-04,7.5609408668e-04,8.3195358457e-04,9.5222603704e-04,1.0322276648e-03,1.0891948477e-03,1.2043528113e-03,1.2812143541e-03
8.8144000000e-02,3.9041027776e-04,4.9161819334e-04,5.8372072090e-04,6.5104133682e-04,7.6010859630e-04,8.3069557149e-04,9.4820235972e-04,1.0265027231e-03,1.1006940622e-03,1.2099413289e-03,1.2710058945e-03
8.9144000000e-02,3.9306138206e-04,4.9404410674e-04,5.8246550907e-04,6.4829662733e-04,7.5899632066e-04,8.3149388956e-04,9.4567549240e-04,1.0291396029e-03,1.0937667685e-03,1.2101827451e-03,1.2798520038e-03
9.0144000000e-02,3.9264166844e-04,4.9250233133e-04,5.7684432250e-04,6.4118881710e-04,7.5744632341e-04,8.3015424025e-04,9.3560862297e-04,1.0324428149e-03,1.0848222882e-03,1.2046690244e-03,1.2763474660e-03
9.1144000000e-02,3.9583821490e-04,4.9279427913e-04,5.7714023569e-04,6.5117252234e-04,7.5064031989e-04,8.2594480773e-04,9.4355396868e-04,1.0330408259e-03,1.0976273188e-03,1.2134960707e-03,1.2686717673e-03
