# Saved on 2025-07-09T13:58:03.021910
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.00075
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_450.00 uS,Conductance_Target_500.00 uS,Conductance_Target_550.00 uS,Conductance_Target_600.00 uS,Conductance_Target_650.00 uS,Conductance_Target_700.00 uS,Conductance_Target_750.00 uS
2.0144000000e-02,4.0435101255e-04,4.4479202188e-04,4.9239130021e-04,5.7694549469e-04,6.0159210989e-04,6.4165869844e-04,6.9834954047e-04,7.5775657024e-04
2.1144000000e-02,4.0481478209e-04,4.4530857849e-04,4.9095113354e-04,5.7419445511e-04,6.0591777583e-04,6.4165113145e-04,7.0051995863e-04,7.5715339335e-04
2.2144000000e-02,4.0459774027e-04,4.4548189180e-04,4.9091868277e-04,5.6647520978e-04,6.0260401369e-04,6.4189793193e-04,7.0148416853e-04,7.5826450484e-04
2.3144000000e-02,4.0452872781e-04,4.4544834964e-04,4.9285841669e-04,5.6417418818e-04,6.0808019043e-04,6.4207422838e-04,6.9878806244e-04,7.5871088484e-04
2.4144000000e-02,4.0466748032e-04,4.4534244807e-04,4.9033322284e-04,5.6652061176e-04,6.0471920733e-04,6.4169951656e-04,6.9776186137e-04,7.5780117186e-04
2.5144000000e-02,4.0461291064e-04,4.4538890506e-04,4.8917601816e-04,5.6428121752e-04,6.0689872043e-04,6.4238331106e-04,6.9987574534e-04,7.5804564403e-04
2.6144000000e-02,4.0502949560e-04,4.4776716095e-04,4.9273730838e-04,5.6845794461e-04,6.0915481299e-04,6.4282088715e-04,6.9796507887e-04,7.5860858487e-04
2.7144000000e-02,4.0562597860e-04,4.3745705625e-04,4.9229773140e-04,5.7755230955e-04,6.0740556364e-04,6.4276551711e-04,6.9828434789e-04,7.5846182881e-04
2.8144000000e-02,4.0424001782e-04,4.4785912905e-04,4.9296904763e-04,5.6431996200e-04,6.0494210629e-04,6.4227257099e-04,6.9828492997e-04,7.5919066148e-04
2.9144000000e-02,4.0428600187e-04,4.4791227992e-04,4.9139634939e-04,5.6367967773e-04,6.0681402829e-04,6.4260646468e-04,7.0020207204e-04,7.5723422924e-04
3.0144000000e-02,4.0457438445e-04,4.4823023927e-04,4.9230438890e-04,5.8949339291e-04,6.0798087361e-04,6.4314648625e-04,6.9632777013e-04,7.5904106779e-04
3.1144000000e-02,4.0466693463e-04,4.4835640438e-04,4.9132671847e-04,5.6400658650e-04,6.0741691414e-04,6.4261039370e-04,6.9994639489e-04,7.5681535236e-04
3.2144000000e-02,4.0425969928e-04,4.4763037295e-04,4.9127327657e-04,5.7480276155e-04,6.0707945522e-04,6.4272891905e-04,7.0022171712e-04,7.5885182014e-04
3.3144000000e-02,4.0489747335e-04,4.4401309424e-04,4.8987098126e-04,5.7510729675e-04,6.0173955717e-04,6.4249456045e-04,6.9776346209e-04,7.5808013207e-04
3.4144000000e-02,4.0467835788e-04,4.4789780077e-04,4.9251215387e-04,5.7515149820e-04,6.0438000219e-04,6.4269122959e-04,7.0106914791e-04,7.6025673479e-04
3.5144000000e-02,4.0492828703e-04,4.3711017497e-04,4.9158155889e-04,5.6350316299e-04,6.0729515099e-04,6.4299922087e-04,7.0083478931e-04,7.5713127444e-04
3.6144000000e-02,4.0495993744e-04,4.3731415644e-04,4.9109588872e-04,5.7056495280e-04,6.0633636167e-04,6.4264604589e-04,7.0140886237e-04,7.6001022535e-04
3.7144000000e-02,3.8694190152e-04,4.4796193833e-04,4.9199032219e-04,5.6380213209e-04,6.0292713897e-04,6.4230116550e-04,7.0094676630e-04,7.5835581811e-04
3.8144000000e-02,3.8665373722e-04,4.4790423999e-04,4.9181035138e-04,5.6691900681e-04,6.0891718022e-04,6.4202475187e-04,7.0089656219e-04,7.5052172178e-04
3.9144000000e-02,3.8681162550e-04,4.3691183237e-04,4.9023015890e-04,5.6838038290e-04,6.0740927438e-04,6.4257976192e-04,7.0102716563e-04,7.5864394603e-04
4.0144000000e-02,3.8682814193e-04,4.4849464757e-04,4.9120822950e-04,5.7437286159e-04,6.0582577134e-04,6.4219610067e-04,7.0090965892e-04,7.5853633462e-04
4.1144000000e-02,3.8699308789e-04,4.4904048991e-04,4.9037022109e-04,5.6143897382e-04,6.0269310779e-04,6.4219879278e-04,6.9969784818e-04,7.5891759479e-04
4.2144000000e-02,3.8644746382e-04,4.4837808673e-04,4.8785765102e-04,5.6203811255e-04,6.0247672081e-04,6.4198320615e-04,6.9985348091e-04,7.5652402302e-04
4.3144000000e-02,3.8620884879e-04,4.4854103180e-04,4.8689860705e-04,5.6176904764e-04,6.0589729401e-04,6.4178093453e-04,6.9916997745e-04,7.6070959039e-04
4.4144000000e-02,3.8704823965e-04,4.4819920731e-04,4.8885642173e-04,5.5967702792e-04,6.0819111241e-04,6.4212770667e-04,7.0019705163e-04,7.5931748142e-04
4.5144000000e-02,3.8589845644e-04,4.4529922889e-04,4.8622408940e-04,5.5841654103e-04,6.0758902691e-04,6.4203733928e-04,7.0044850872e-04,7.5917603681e-04
4.6144000000e-02,3.8654248783e-04,4.4639040425e-04,4.8683912610e-04,5.6944958487e-04,6.0325688537e-04,6.4161831688e-04,7.0049107308e-04,7.5985692092e-04
4.7144000000e-02,3.8654568925e-04,4.4326137868e-04,4.8696052545e-04,5.6958338973e-04,6.0791211581e-04,6.4202598878e-04,7.0048648922e-04,7.5983778515e-04
4.8144000000e-02,3.8498801587e-04,4.4676278776e-04,4.8689049436e-04,5.7484619902e-04,6.0306061641e-04,6.4206258685e-04,7.0079120633e-04,7.5884672697e-04
4.9144000000e-02,3.8596721424e-04,4.4703101594e-04,4.8813592002e-04,5.5900225561e-04,6.0737351305e-04,6.4178253524e-04,7.0113332185e-04,7.5814576121e-04
5.0144000000e-02,3.8642039726e-04,4.4699158025e-04,4.8895348300e-04,5.5898257415e-04,6.0748079704e-04,6.4178209868e-04,7.0017849794e-04,7.5888929132e-04
5.1144000000e-02,3.8604768633e-04,4.4674568926e-04,4.8704790970e-04,5.7028257288e-04,6.0760488850e-04,6.4183295763e-04,7.0146510552e-04,7.5510870374e-04
5.2144000000e-02,3.8583581045e-04,4.4185846491e-04,4.8725789384e-04,5.6965640397e-04,6.0814185417e-04,6.4201958594e-04,7.0065485488e-04,7.5978663517e-04
5.3144000000e-02,3.8664333260e-04,4.3625630497e-04,4.8855385103e-04,5.6967230194e-04,6.0527028836e-04,6.4188083343e-04,7.0110647357e-04,7.5866009865e-04
5.4144000000e-02,3.8510064769e-04,4.4642041757e-04,4.8719157348e-04,5.6286036852e-04,6.0669415689e-04,6.4166400989e-04,7.0116824645e-04,7.5897369243e-04
5.5144000000e-02,3.8585632865e-04,4.4940465159e-04,4.8589408834e-04,5.6187964219e-04,6.0244794440e-04,6.4189560362e-04,6.9789435656e-04,7.5817071775e-04
5.6144000000e-02,3.8576061343e-04,4.4696465920e-04,4.8857393267e-04,5.5613771110e-04,6.0674628912e-04,6.4229614509e-04,6.9833171437e-04,7.5936106441e-04
5.7144000000e-02,3.8607289753e-04,4.4707277993e-04,4.8950219934e-04,5.6097964261e-04,6.0399535869e-04,6.4215957536e-04,6.9697234721e-04,7.5979027315e-04
5.8144000000e-02,3.8524383854e-04,4.4656455430e-04,4.8950787459e-04,5.6211691117e-04,5.9939295170e-04,6.4216197643e-04,6.9988258474e-04,7.5005758845e-04
5.9144000000e-02,3.8631995267e-04,4.4991844334e-04,4.9120502808e-04,5.5908119975e-04,5.9915390011e-04,6.4284526161e-04,7.0048343332e-04,7.5866955740e-04
6.0144000000e-02,3.8633537770e-04,4.4958920626e-04,4.9077039876e-04,5.5920074374e-04,6.0301154008e-04,6.4252279117e-04,6.9950452598e-04,7.5767966337e-04
6.1144000000e-02,3.8635105739e-04,4.3890697270e-04,4.9264504923e-04,5.5888343923e-04,6.0762919020e-04,6.4259824285e-04,7.0005924499e-04,7.5982046837e-04
6.2144000000e-02,3.8626574678e-04,4.4949661969e-04,4.9070669775e-04,5.8550500398e-04,6.0861875681e-04,6.4220919739e-04,7.0004905865e-04,7.5928372098e-04
6.3144000000e-02,3.8624595618e-04,4.3878477300e-04,4.9042257160e-04,5.5874410464e-04,6.0560811107e-04,6.4273437602e-04,6.9840112701e-04,7.5973897765e-04
6.4144000000e-02,3.8627051254e-04,4.4959815568e-04,4.8822879762e-04,5.6967332057e-04,6.0334081354e-04,6.4197061874e-04,6.9870686275e-04,7.5983596616e-04
6.5144000000e-02,3.8587706513e-04,4.4947861170e-04,4.9111637054e-04,5.6957091147e-04,6.0477570514e-04,6.4204963564e-04,6.9829977292e-04,7.5905823905e-04
6.6144000000e-02,3.8647965994e-04,4.3770527554e-04,4.9030091759e-04,5.6950902945e-04,6.0780883359e-04,6.4222193032e-04,6.9849193096e-04,7.5994073995e-04
6.7144000000e-02,3.8589456381e-04,4.4823453209e-04,4.8947717005e-04,5.5883174355e-04,6.0835820477e-04,6.4135943830e-04,6.9906083809e-04,7.5929579907e-04
6.8144000000e-02,3.8643578591e-04,4.4822430937e-04,4.9012902309e-04,5.7339060731e-04,6.0715774453e-04,6.4200066845e-04,6.9924950367e-04,7.5752323028e-04
6.9144000000e-02,3.8638765545e-04,4.4773441914e-04,4.9083279009e-04,5.6883371144e-04,6.0798171035e-04,6.4169558755e-04,6.9930654718e-04,7.5998599641e-04
7.0144000000e-02,3.8679223508e-04,4.3753097998e-04,4.9161200877e-04,5.6137760112e-04,6.0329533881e-04,6.4208034019e-04,6.9643305324e-04,7.5781703345e-04
7.1144000000e-02,3.8623566070e-04,4.4655145757e-04,4.9243102694e-04,5.6195345678e-04,6.0663434851e-04,6.3975749072e-04,6.9657209679e-04,7.5705167546e-04
7.2144000000e-02,3.8579328248e-04,4.4817203161e-04,4.9026923080e-04,5.5846354371e-04,6.0671467509e-04,6.4257772465e-04,6.9616624387e-04,7.5659059803e-04
7.3144000000e-02,3.8635385863e-04,4.4802229240e-04,4.9029589718e-04,5.5829019402e-04,6.0467755247e-04,6.4224579546e-04,6.9916808570e-04,7.5982534327e-04
7.4144000000e-02,3.8595055230e-04,4.4843385695e-04,4.9083464546e-04,5.5865690229e-04,6.0505855799e-04,6.4155938162e-04,7.0064939791e-04,7.5992866186e-04
7.5144000000e-02,3.8476995542e-04,4.4808381062e-04,4.9095746363e-04,5.6966393458e-04,6.0440459492e-04,6.4206447860e-04,6.9929017627e-04,7.6055526733e-04
7.6144000000e-02,3.8606292946e-04,4.3772604840e-04,4.9084319471e-04,5.6141627283e-04,6.0381677031e-04,6.4184707298e-04,6.9997673563e-04,7.5985466538e-04
7.7144000000e-02,3.8644870074e-04,4.3690655730e-04,4.9262824177e-04,5.7014502090e-04,6.0630194639e-04,6.4184969233e-04,7.0045003667e-04,7.5817035395e-04
7.8144000000e-02,3.8508453144e-04,4.4816722948e-04,4.9025271437e-04,5.5905318732e-04,6.0253711126e-04,6.4184983785e-04,6.9967791205e-04,7.5867239502e-04
7.9144000000e-02,3.8650003262e-04,4.4779091695e-04,4.8981248256e-04,5.6256838434e-04,6.0590060457e-04,6.4138148446e-04,6.9636924309e-04,7.5975862273e-04
8.0144000000e-02,3.8652236981e-04,4.3720021495e-04,4.8972833611e-04,5.5891283409e-04,6.0695670982e-04,6.4196734456e-04,6.9885776611e-04,7.5798794569e-04
8.1144000000e-02,3.8661401049e-04,4.4867138058e-04,4.9145652156e-04,5.5865937611e-04,6.0523729189e-04,6.4193460275e-04,6.9895591878e-04,7.5595307862e-04
8.2144000000e-02,3.8614165533e-04,4.4505050028e-04,4.8991543736e-04,5.5866370531e-04,6.0668575316e-04,6.4212850702e-04,6.9821289799e-04,7.5917596405e-04
8.3144000000e-02,3.8635993405e-04,4.4335385610e-04,4.9004916946e-04,5.6978376961e-04,6.0744161601e-04,6.4221567300e-04,6.9904825068e-04,7.5691743405e-04
8.4144000000e-02,3.8439950004e-04,4.4523745601e-04,4.9159567425e-04,5.5839558627e-04,6.0223239416e-04,6.4217652834e-04,6.9632165832e-04,7.5539777754e-04
8.5144000000e-02,3.8701298763e-04,4.4495773182e-04,4.8979312851e-04,5.6915636378e-04,6.0771759308e-04,6.4201223722e-04,6.9612498919e-04,7.5637290138e-04
8.6144000000e-02,3.8632973883e-04,4.4521413656e-04,4.9071124522e-04,5.5858497944e-04,6.0765891249e-04,6.4262458181e-04,6.9900037488e-04,7.5449941505e-04
8.7144000000e-02,3.8644349843e-04,4.4516753405e-04,4.9014695833e-04,5.7026703871e-04,6.0667618527e-04,6.4192499849e-04,6.9691166573e-04,7.5071329775e-04
8.8144000000e-02,3.8673046220e-04,4.4644613808e-04,4.9108100939e-04,5.6926604884e-04,6.0771359131e-04,6.4187777753e-04,6.9869827712e-04,7.5558105891e-04
8.9144000000e-02,3.8649595808e-04,4.4629297918e-04,4.9017085985e-04,5.5860749853e-04,6.0287409724e-04,6.4175808802e-04,6.9931411417e-04,7.5427073170e-04
9.0144000000e-02,3.8737638533e-04,4.4660944695e-04,4.9149210099e-04,5.6959845097e-04,6.0616595874e-04,6.4184023358e-04,6.9592664659e-04,7.5603784353e-04
9.1144000000e-02,3.8616602978e-04,4.4694337703e-04,4.9120149924e-04,5.6135941122e-04,6.0152804508e-04,6.4268446295e-04,6.9649846409e-04,7.5745912909e-04
9.2144000000e-02,3.8632220821e-04,4.4620090193e-04,4.9096328439e-04,5.6879387557e-04,6.0668658989e-04,6.4290521550e-04,6.9634392275e-04,7.5635791291e-04
9.3144000000e-02,3.8627582398e-04,4.4677584810e-04,4.9060203310e-04,5.5888063798e-04,6.0373477027e-04,6.4225889219e-04,6.9931411417e-04,7.5620853750e-04
9.4144000000e-02,3.8658014091e-04,4.3595391617e-04,4.8997149861e-04,5.6892651628e-04,6.0726630181e-04,6.4166168158e-04,6.9975969382e-04,7.4543182564e-04
9.5144000000e-02,3.8624581066e-04,4.4619573600e-04,4.8884219723e-04,5.5817723478e-04,6.0739304899e-04,6.4264080720e-04,6.9889196311e-04,7.5631454820e-04
9.6144000000e-02,3.8628379116e-04,4.4711468945e-04,4.9075548304e-04,5.6801742176e-04,6.0556081735e-04,6.4230611315e-04,6.9944493589e-04,7.5412310252e-04
9.7144000000e-02,3.8592712372e-04,4.4919910579e-04,4.9254489568e-04,5.6797132856e-04,6.0756239691e-04,6.4210216806e-04,6.9882844400e-04,7.5398420449e-04
9.8144000000e-02,3.8634843804e-04,4.4709999202e-04,4.9082515034e-04,5.5724249250e-04,6.0624512116e-04,6.4241256041e-04,6.9641886512e-04,7.5740150351e-04
9.9144000000e-02,3.8609941839e-04,4.4660726417e-04,4.9066089559e-04,5.5635522585e-04,6.0270453105e-04,6.4228588599e-04,6.9969115430e-04,7.5728290540e-04
1.0014400000e-01,3.8569247408e-04,4.4708202040e-04,4.9029327784e-04,5.5646916735e-04,6.0777718318e-04,6.4250692958e-04,6.9887209975e-04,7.5595489761e-04
1.0114400000e-01,3.8678277633e-04,4.4680706196e-04,4.9231650337e-04,5.5699863879e-04,6.0214577388e-04,6.4278960053e-04,6.9912719482e-04,7.5779375038e-04
1.0214400000e-01,3.8639136619e-04,4.4682496082e-04,4.9089827371e-04,5.6791559473e-04,6.0577807744e-04,6.4274194301e-04,7.0023794251e-04,7.5686220953e-04
1.0314400000e-01,3.8675618271e-04,4.3595016905e-04,4.9167756515e-04,5.7017503423e-04,6.0322046920e-04,6.4275976911e-04,6.9914538471e-04,7.5557960372e-04
1.0414400000e-01,3.8619124098e-04,4.4713007810e-04,4.9034711992e-04,5.6794870034e-04,6.0706293880e-04,6.4283245592e-04,6.9923400588e-04,7.5746502262e-04
1.0514400000e-01,3.8747093640e-04,4.4742653699e-04,4.9061378377e-04,5.6123408285e-04,6.0324371589e-04,6.4243962697e-04,6.9728019298e-04,7.5503776316e-04
1.0614400000e-01,3.8629979827e-04,4.4697611884e-04,4.9243819376e-04,5.5826716562e-04,6.0747177486e-04,6.4190477133e-04,6.9940382673e-04,7.5531432230e-04
1.0714400000e-01,3.8615846279e-04,4.4575168431e-04,4.9049926020e-04,5.6930544815e-04,6.0549238697e-04,6.4219137130e-04,6.9997062383e-04,7.5811425631e-04
1.0814400000e-01,3.8631395000e-04,4.4680378778e-04,4.9059948651e-04,5.5884469475e-04,6.0782662331e-04,6.4198131440e-04,6.9896879722e-04,7.5562515121e-04
1.0914400000e-01,3.8433365262e-04,4.3868134526e-04,4.9008773203e-04,5.6354285334e-04,6.0781098000e-04,6.4225758251e-04,6.9971378252e-04,7.5416799518e-04
1.1014400000e-01,3.8652855437e-04,4.4717951823e-04,4.9055881391e-04,5.5785501900e-04,6.0273156123e-04,6.4180952904e-04,6.9980589615e-04,7.5540556281e-04
1.1114400000e-01,3.8669226342e-04,4.4722590246e-04,4.9245849368e-04,5.6111937738e-04,6.0130529164e-04,6.4159117755e-04,6.9936664659e-04,7.4656883953e-04
1.1214400000e-01,3.8604182919e-04,4.4979249651e-04,4.9094476708e-04,5.8380483097e-04,6.0713442508e-04,6.4168176323e-04,6.9972571509e-04,7.5765245128e-04
1.1314400000e-01,3.8655653043e-04,4.3939930038e-04,4.9095804570e-04,5.6084983953e-04,6.0889247834e-04,6.4184081566e-04,6.9853493187e-04,7.5615687820e-04
1.1414400000e-01,3.8638110709e-04,4.5003584091e-04,4.9068257795e-04,5.6944416428e-04,6.0460755776e-04,6.4231200668e-04,7.0008922194e-04,7.5295596616e-04
1.1514400000e-01,3.8730839151e-04,4.4691838411e-04,4.9119316827e-04,5.5897486163e-04,6.0399401264e-04,6.4244326495e-04,7.0061643783e-04,7.5767100498e-04
1.1614400000e-01,3.8634210796e-04,4.3652878958e-04,4.9050286179e-04,5.6017510360e-04,6.0758451582e-04,6.4240746724e-04,6.9941852416e-04,7.5783740613e-04
1.1714400000e-01,3.8745747588e-04,4.4717919081e-04,4.9101749028e-04,5.6076631154e-04,6.0684778873e-04,6.4231695433e-04,6.9933274062e-04,7.5738833402e-04
1.1814400000e-01,3.8630099880e-04,4.4725667976e-04,4.9106871302e-04,5.7182081946e-04,6.0615777329e-04,6.4209736593e-04,6.9687965151e-04,7.5683616160e-04
1.1914400000e-01,3.8619575207e-04,4.4723336032e-04,4.9083737395e-04,5.6947821577e-04,6.0133337684e-04,6.4201136411e-04,6.9630717917e-04,7.5421274232e-04
