# Saved on 2025-06-24T12:51:19.021874
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S)
3.8144000000e-02,2.1323698093e-04,3.1808122003e-04,4.0944891225e-04,5.1024093409e-04,5.9665882873e-04,6.8964574893e-04,7.8983437561e-04
3.9144000000e-02,2.0811130526e-04,3.1771520298e-04,4.1190225602e-04,5.1477327361e-04,5.9369991504e-04,6.9048153819e-04,7.9892779468e-04
4.0144000000e-02,2.0317040253e-04,3.1211286114e-04,4.1808310925e-04,5.0573842600e-04,5.9036556195e-04,7.0137459261e-04,7.9352248576e-04
4.1144000000e-02,2.0999788831e-04,3.0712955777e-04,4.0998187615e-04,5.0994985941e-04,5.9646416048e-04,6.9706882641e-04,7.9303688835e-04
4.2144000000e-02,2.0932950065e-04,3.0508108466e-04,4.1145285650e-04,5.0678358093e-04,5.9750760556e-04,7.0274880272e-04,7.8241879237e-04
4.3144000000e-02,2.0994571969e-04,3.1128172850e-04,4.1207316826e-04,5.1254810387e-04,6.0124162701e-04,6.9733832788e-04,7.8725170169e-04
4.4144000000e-02,2.0017887437e-04,3.1477939046e-04,4.1938019422e-04,5.1204508054e-04,5.8637426264e-04,6.9534580689e-04,7.8273944382e-04
4.5144000000e-02,2.0744404537e-04,3.0602386687e-04,4.1254126700e-04,5.1231145335e-04,6.0159036366e-04,6.9598507253e-04,7.8765500803e-04
4.6144000000e-02,2.0721288820e-04,3.0823393899e-04,4.1404699004e-04,5.0966187700e-04,5.9280479036e-04,6.9551118941e-04,7.8935561760e-04
4.7144000000e-02,2.1854515580e-04,3.1013056287e-04,4.0712875489e-04,5.0248181651e-04,6.0094389482e-04,6.9662608439e-04,7.8881937952e-04
4.8144000000e-02,2.1901421860e-04,3.2062180253e-04,4.0389786591e-04,5.0699462008e-04,6.0101909185e-04,6.9127025199e-04,7.9082878074e-04
4.9144000000e-02,2.2316258764e-04,3.1791129004e-04,4.0068254748e-04,5.0535178161e-04,6.0436308559e-04,6.8892746640e-04,7.8657598351e-04
5.0144000000e-02,2.1672429284e-04,3.2463602111e-04,4.0454320697e-04,5.0479731726e-04,6.0318347096e-04,6.8709443440e-04,7.9373879998e-04
5.1144000000e-02,2.1271927835e-04,3.1412739190e-04,4.0945556975e-04,4.9899874284e-04,5.9647420130e-04,7.0232868893e-04,7.9465629824e-04
5.2144000000e-02,2.1888075935e-04,3.1649673474e-04,4.0313418140e-04,5.0725389883e-04,6.0332215071e-04,6.9220906880e-04,7.9670164268e-04
5.3144000000e-02,2.1883184672e-04,3.1631792808e-04,4.0354614612e-04,5.0521335652e-04,6.0834987380e-04,6.9396926847e-04,7.8169912740e-04
5.4144000000e-02,2.1979189114e-04,3.1852159736e-04,4.0467428335e-04,5.1093942602e-04,6.0018614022e-04,6.8792600359e-04,7.9028053733e-04
5.5144000000e-02,2.0621029762e-04,3.1755957025e-04,4.1568942834e-04,5.1154747780e-04,5.9104699176e-04,6.9216934207e-04,7.9120982264e-04
5.6144000000e-02,2.0760378902e-04,3.1373550883e-04,4.1278086428e-04,5.1552746299e-04,5.9975383920e-04,6.9309746323e-04,7.9559722508e-04
5.7144000000e-02,1.9993500246e-04,3.0958643038e-04,4.1886178224e-04,5.1285569498e-04,5.9479214542e-04,6.9396068284e-04,7.8987453890e-04
5.8144000000e-02,2.1281795853e-04,3.0576135032e-04,4.0695074858e-04,5.0585123972e-04,6.0909391323e-04,7.0049849455e-04,7.9181045294e-04
5.9144000000e-02,2.0871764718e-04,3.1389186915e-04,4.1293031245e-04,5.1089489716e-04,5.9420759499e-04,6.9955713116e-04,7.9265533714e-04
6.0144000000e-02,2.0971514459e-04,3.1162937375e-04,4.0937567974e-04,5.1177947171e-04,5.9770893131e-04,6.9635971158e-04,7.8524761193e-04
6.1144000000e-02,2.0636622139e-04,3.1335479434e-04,4.1069113649e-04,5.1342402003e-04,6.0176920670e-04,6.9609523052e-04,7.8647957707e-04
6.2144000000e-02,2.0887413484e-04,3.0575556593e-04,4.1239152779e-04,5.0087033742e-04,5.9751084336e-04,7.0389563916e-04,7.8913770267e-04
6.3144000000e-02,2.1007790565e-04,3.1018538721e-04,4.0880484448e-04,4.9901638704e-04,5.9643643908e-04,6.9765097578e-04,7.8987381130e-04
6.4144000000e-02,2.1746451239e-04,3.1029314414e-04,4.0527353121e-04,4.9491805839e-04,5.9834153944e-04,6.9693342084e-04,7.7992292063e-04
6.5144000000e-02,2.2046368031e-04,3.1669565942e-04,4.0045222704e-04,5.0900081987e-04,6.0358965129e-04,6.8654975621e-04,7.8701268649e-04
6.6144000000e-02,2.1433754227e-04,3.2128071325e-04,4.0933326090e-04,5.0290251238e-04,6.0419541114e-04,6.9097150117e-04,7.8672244854e-04
6.7144000000e-02,2.1494925022e-04,3.2414925954e-04,4.0733979404e-04,5.0678750995e-04,6.0364829551e-04,6.8642861152e-04,7.9788500443e-04
6.8144000000e-02,2.1387357265e-04,3.1781914004e-04,4.0707007429e-04,5.0252958317e-04,6.0649861553e-04,6.9165958848e-04,7.9347257270e-04
6.9144000000e-02,2.2349664505e-04,3.1482533814e-04,3.9782811655e-04,5.0683815061e-04,6.1426610046e-04,6.9443907705e-04,7.9848090536e-04
7.0144000000e-02,2.1624618967e-04,3.2210067729e-04,4.0612841985e-04,5.0793303672e-04,5.9946658439e-04,6.9299356255e-04,7.9358229414e-04
7.1144000000e-02,2.1977577489e-04,3.2023741369e-04,4.0449784137e-04,5.0697344705e-04,6.0115256929e-04,6.9339250331e-04,7.9076620750e-04
7.2144000000e-02,2.0788709662e-04,3.1861447496e-04,4.1086390411e-04,5.1208990044e-04,5.9280773712e-04,6.9181383878e-04,7.9238161561e-04
7.3144000000e-02,2.0522578779e-04,3.0880830309e-04,4.1034520109e-04,5.0825310609e-04,5.9286230680e-04,6.9804540544e-04,7.9097939306e-04
7.4144000000e-02,2.0070279788e-04,3.0973555113e-04,4.1389459511e-04,5.0349841331e-04,5.8845536842e-04,6.9883339165e-04,7.9224730143e-04
7.5144000000e-02,2.0709399905e-04,3.0433677239e-04,4.0843515308e-04,5.0745351473e-04,5.9075631725e-04,7.0176487498e-04,7.8656448750e-04
7.6144000000e-02,2.1115161871e-04,3.1374580431e-04,4.0444978367e-04,5.1591865486e-04,5.9776106355e-04,6.8633984483e-04,7.8608485637e-04
7.7144000000e-02,2.0524021238e-04,3.1269937608e-04,4.1464314563e-04,5.0806225772e-04,5.9303536545e-04,6.9641981099e-04,7.8390359704e-04
7.8144000000e-02,2.0540674086e-04,3.1156221667e-04,4.1363462515e-04,5.1001388783e-04,5.9204081481e-04,6.9394358434e-04,7.9936704424e-04
7.9144000000e-02,2.0659299480e-04,3.0944633181e-04,4.1235944082e-04,5.0150592870e-04,5.9383251937e-04,7.0020658313e-04,7.8869874415e-04
8.0144000000e-02,2.1725330953e-04,3.1022980693e-04,4.0429058572e-04,5.0613183703e-04,6.0317019233e-04,6.9626781624e-04,7.9085126345e-04
8.1144000000e-02,2.1662193831e-04,3.1459971069e-04,4.0444130718e-04,5.0029197155e-04,6.0092934291e-04,6.9709582021e-04,7.8467935964e-04
8.2144000000e-02,2.2421014364e-04,3.1870706152e-04,3.9843122067e-04,5.0371018006e-04,6.0320129705e-04,6.9561538112e-04,7.8915240010e-04
8.3144000000e-02,2.1032714358e-04,3.2303272747e-04,4.1031140427e-04,5.1153743698e-04,5.9085796238e-04,6.8923916842e-04,7.8865508840e-04
8.4144000000e-02,2.1537152861e-04,3.1350748031e-04,4.0672839532e-04,5.0229547924e-04,5.9888017859e-04,6.9043097028e-04,7.8815704910e-04
8.5144000000e-02,2.1387215384e-04,3.1583484088e-04,4.0768136387e-04,5.0529990403e-04,5.9623300331e-04,6.9275192800e-04,7.9622324847e-04
8.6144000000e-02,2.1768053557e-04,3.1731826311e-04,4.0195529436e-04,5.0286649639e-04,6.0366641264e-04,6.9465451816e-04,7.9297395132e-04
8.7144000000e-02,2.1711617592e-04,3.1767252949e-04,4.0134542360e-04,5.1149927458e-04,6.0692782426e-04,6.8611094321e-04,7.9179095337e-04
8.8144000000e-02,2.1624930014e-04,3.1328694604e-04,4.0343078581e-04,5.0765895139e-04,6.0510610638e-04,6.9116184022e-04,7.8931458120e-04
8.9144000000e-02,2.0859761207e-04,3.1237352232e-04,4.1123483243e-04,5.1234834245e-04,6.0342903453e-04,6.9015877671e-04,7.9911565990e-04
9.0144000000e-02,2.0372232029e-04,3.0611688999e-04,4.1524130211e-04,4.9793899962e-04,5.8989156969e-04,7.0189533290e-04,7.9249897681e-04
9.1144000000e-02,2.0982146452e-04,3.0227291063e-04,4.0740767872e-04,5.0653321523e-04,5.9583435359e-04,6.9797788456e-04,7.9387798905e-04
9.2144000000e-02,2.0937233785e-04,3.0491595680e-04,4.0994425945e-04,5.0805039791e-04,5.9813373809e-04,7.0222828072e-04,7.8202654549e-04
9.3144000000e-02,2.0962665076e-04,3.1033043342e-04,4.0973631258e-04,5.0984439440e-04,5.9981633967e-04,6.9800938945e-04,7.8856319305e-04
9.4144000000e-02,2.0088318706e-04,3.1441646570e-04,4.1772007535e-04,5.0966158597e-04,5.8690271544e-04,6.9590845669e-04,7.8321965702e-04
9.5144000000e-02,2.0780989871e-04,3.0709517887e-04,4.1043171223e-04,5.0848735555e-04,5.9490554122e-04,6.9637389970e-04,7.8672834206e-04
9.6144000000e-02,2.0688901714e-04,3.0890347261e-04,4.0781764255e-04,5.0519811339e-04,5.9405916545e-04,6.9522837293e-04,7.9190431279e-04
9.7144000000e-02,2.1556335923e-04,3.0973667890e-04,4.0169870772e-04,4.9882652092e-04,6.0101781855e-04,6.9661095040e-04,7.8839992057e-04
9.8144000000e-02,2.1806052246e-04,3.2085590647e-04,3.9831542381e-04,5.0468239351e-04,6.0161470174e-04,6.9008274295e-04,7.8905206465e-04
9.9144000000e-02,2.2551796064e-04,3.1901341572e-04,3.9468162868e-04,5.0442820793e-04,6.0539634433e-04,6.8989553256e-04,7.8760276665e-04
1.0014400000e-01,2.1941938030e-04,3.2541778637e-04,3.9939168346e-04,5.0399081374e-04,6.0352249420e-04,6.8756009568e-04,7.9578210716e-04
1.0114400000e-01,2.1323499823e-04,3.1400326407e-04,4.0414372052e-04,4.9378075346e-04,5.9672511270e-04,7.0381036494e-04,7.9475183156e-04
1.0214400000e-01,2.1929130526e-04,3.1726438465e-04,3.9730293793e-04,5.0326088967e-04,6.0172693338e-04,6.9179317506e-04,7.9647346865e-04
1.0314400000e-01,2.1932863092e-04,3.1555606256e-04,3.9859703975e-04,5.0163500418e-04,6.0840469814e-04,6.9468420406e-04,7.8205353930e-04
1.0414400000e-01,2.1731691959e-04,3.1972169381e-04,3.9978072891e-04,5.0975559134e-04,6.0745936935e-04,6.8842615292e-04,7.9273006122e-04
1.0514400000e-01,2.0594396119e-04,3.1854109693e-04,4.1007533582e-04,5.1417428040e-04,5.9150599554e-04,6.9222631282e-04,7.9190940596e-04
1.0614400000e-01,2.0955030777e-04,3.1470797694e-04,4.0840037400e-04,5.1766866818e-04,5.9320202126e-04,6.9266090577e-04,7.9546065535e-04
1.0714400000e-01,2.0122373826e-04,3.1042713090e-04,4.1386520024e-04,5.1497809181e-04,5.8944424381e-04,6.9257781433e-04,7.9073324741e-04
1.0814400000e-01,2.1289697543e-04,3.0512801459e-04,4.0166010876e-04,5.0448870752e-04,6.0970432969e-04,7.0031921496e-04,7.9183228081e-04
1.0914400000e-01,2.0887315259e-04,3.1507654057e-04,4.0637398342e-04,5.0924045354e-04,6.0023492551e-04,6.9925670687e-04,7.9263299995e-04
1.1014400000e-01,2.1036050384e-04,3.1201856473e-04,4.0537463065e-04,5.1216891734e-04,5.9828045778e-04,6.9545509177e-04,7.8408462286e-04
1.1114400000e-01,2.0645302357e-04,3.1348597986e-04,4.0817249101e-04,5.0896549510e-04,5.9456357121e-04,6.9570458436e-04,7.8773591667e-04
1.1214400000e-01,2.0770501578e-04,3.0545827030e-04,4.0691189497e-04,5.0157676014e-04,5.9500915086e-04,7.0300047810e-04,7.8908953583e-04
1.1314400000e-01,2.1008214389e-04,3.0961298762e-04,4.0488986997e-04,5.0518112403e-04,5.9590671299e-04,6.9697976869e-04,7.9045887105e-04
1.1414400000e-01,2.1516554625e-04,3.1030343962e-04,4.0106904635e-04,4.9609512644e-04,6.0399677750e-04,6.9778106990e-04,7.8010176367e-04
1.1514400000e-01,2.2060576157e-04,3.1613315514e-04,3.9977636334e-04,5.1246017392e-04,6.0331087298e-04,6.8529479904e-04,7.8731616668e-04
1.1614400000e-01,2.1668032787e-04,3.2188690966e-04,4.0765167796e-04,4.9927184591e-04,6.0028807638e-04,6.9052279287e-04,7.8647542978e-04
1.1714400000e-01,2.1710429792e-04,3.2384814403e-04,4.0742928832e-04,5.0179954997e-04,5.9684076405e-04,6.8529370765e-04,7.9856545199e-04
1.1814400000e-01,2.1690144422e-04,3.1825071346e-04,4.0611215809e-04,4.9968861276e-04,5.9997226344e-04,6.9023779361e-04,7.9454133811e-04
1.1914400000e-01,2.2316795366e-04,3.1494193536e-04,3.9773382014e-04,5.0025380915e-04,6.1240833020e-04,6.9396337494e-04,7.9763609392e-04
1.2014400000e-01,2.1658321202e-04,3.2161024137e-04,4.0557792090e-04,4.9921869504e-04,5.9893856815e-04,6.9216424890e-04,7.9533558164e-04
1.2114400000e-01,2.1734067559e-04,3.1983152439e-04,4.0415445255e-04,5.0779817684e-04,6.0112655774e-04,6.9306312071e-04,7.9147743236e-04
1.2214400000e-01,2.0773455617e-04,3.1902134651e-04,4.1086728743e-04,5.1208313380e-04,5.9223817516e-04,6.9183937740e-04,7.9318277130e-04
1.2314400000e-01,2.0545156076e-04,3.0782903195e-04,4.1339004383e-04,5.1010818424e-04,5.9239184338e-04,6.9813817390e-04,7.9194207501e-04
1.2414400000e-01,2.0087441953e-04,3.0812720070e-04,4.1645394958e-04,5.0707734772e-04,5.8928537328e-04,6.9837398769e-04,7.9243392975e-04
1.2514400000e-01,2.0732726625e-04,3.0293140298e-04,4.1301074816e-04,5.0855676818e-04,5.9085610701e-04,7.0090609370e-04,7.8574819781e-04
1.2614400000e-01,2.1107924113e-04,3.1463929190e-04,4.0919599996e-04,5.1728344260e-04,5.9808891820e-04,6.8532492151e-04,7.8619821579e-04
1.2714400000e-01,2.0600149583e-04,3.1141335057e-04,4.1510189476e-04,5.0884445955e-04,6.0029924498e-04,6.9715140853e-04,7.8447264968e-04
1.2814400000e-01,2.0501076506e-04,3.1095911254e-04,4.1345676436e-04,5.1043785788e-04,5.9957004851e-04,6.9324261858e-04,8.0055775470e-04
1.2914400000e-01,2.0651736122e-04,3.0980496376e-04,4.1020608478e-04,5.0154198107e-04,5.9467100073e-04,6.9938578235e-04,7.8761899204e-04
1.3014400000e-01,2.1708930944e-04,3.0938284908e-04,3.9787166315e-04,5.0595132052e-04,6.0313330323e-04,6.9480491220e-04,7.9097328125e-04
1.3114400000e-01,2.1918074708e-04,3.1463037885e-04,4.0015860577e-04,5.0125046982e-04,6.0199341533e-04,6.9541012635e-04,7.8604753071e-04
1.3214400000e-01,2.2608528525e-04,3.1845302146e-04,3.9409791498e-04,5.0390284741e-04,6.0560771090e-04,6.9520348916e-04,7.9009907495e-04
1.3314400000e-01,2.1042751541e-04,3.2255673432e-04,4.0625011025e-04,5.0691192882e-04,5.9169698943e-04,6.8863751949e-04,7.9012083006e-04
1.3414400000e-01,2.1541973183e-04,3.1413175748e-04,4.0125607484e-04,5.0138733059e-04,6.0035592469e-04,6.8949644628e-04,7.8895383922e-04
1.3514400000e-01,2.1348747396e-04,3.1606119592e-04,4.0631966840e-04,5.0004528021e-04,5.9703965235e-04,6.9312853157e-04,7.9640856711e-04
1.3614400000e-01,2.1742762328e-04,3.1619718357e-04,4.0522096242e-04,5.0224683946e-04,6.0023154219e-04,6.9336660090e-04,7.9431825725e-04
1.3714400000e-01,2.1585614377e-04,3.2369378459e-04,4.0490343963e-04,5.1332561270e-04,5.9906804381e-04,6.8458430178e-04,7.9009325418e-04
1.3814400000e-01,2.1630343326e-04,3.1836960261e-04,4.0848237404e-04,5.1373786846e-04,6.0543905420e-04,6.9014138717e-04,7.9093428212e-04
