# Saved on 2025-06-25T11:40:04.665062
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2.3
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0003
#   max_gtarget: 0.0013
#   num_level: 11
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S)
3.8144000000e-02,2.9703711334e-04,3.9097023546e-04,4.9965339713e-04,5.9142301325e-04,7.0402296842e-04,7.8765151557e-04
3.9144000000e-02,2.9990453186e-04,3.9173944970e-04,5.0355636631e-04,5.9483980294e-04,7.0247595431e-04,7.9197430750e-04
4.0144000000e-02,2.9351034755e-04,3.8555874198e-04,4.9346377637e-04,5.8741348766e-04,7.0147747465e-04,7.9156714492e-04
4.1144000000e-02,2.9724011256e-04,3.9319555071e-04,4.9765585572e-04,5.8939971495e-04,7.0480222348e-04,7.9546887719e-04
4.2144000000e-02,2.9923923648e-04,3.9643393393e-04,4.9952774134e-04,5.8947902289e-04,7.0101210440e-04,7.8493889305e-04
4.3144000000e-02,3.0280232750e-04,3.9406288124e-04,5.0546146667e-04,5.9999558289e-04,7.0040798164e-04,7.8898789070e-04
4.4144000000e-02,3.0931936635e-04,3.9231821575e-04,5.0039488997e-04,5.9831258113e-04,6.9551133492e-04,7.9247423855e-04
4.5144000000e-02,3.0648898246e-04,3.9366066630e-04,4.9994563597e-04,6.0127611505e-04,7.0740628871e-04,7.9756668129e-04
4.6144000000e-02,3.0346987842e-04,3.9780792576e-04,4.9567130191e-04,5.9367292124e-04,7.0319962106e-04,7.8972923802e-04
4.7144000000e-02,3.0258037441e-04,4.0068040107e-04,4.9083089834e-04,5.9746180341e-04,7.0209782280e-04,7.9185781942e-04
4.8144000000e-02,3.1133204175e-04,4.0369159251e-04,4.9226568080e-04,5.9427857195e-04,6.9298592280e-04,7.8835146269e-04
4.9144000000e-02,3.0537386920e-04,3.9147424104e-04,4.9249327276e-04,5.9335285187e-04,7.0319387305e-04,7.8543554991e-04
5.0144000000e-02,3.0579358281e-04,3.9651338739e-04,4.9754373322e-04,5.9501227952e-04,7.0102141763e-04,7.8545388533e-04
5.1144000000e-02,2.9532144254e-04,3.9794940676e-04,4.9075046263e-04,5.9114521719e-04,7.0444766607e-04,7.8541321272e-04
5.2144000000e-02,2.9576576708e-04,4.0649894800e-04,4.9310769100e-04,5.9022859205e-04,7.0744856203e-04,7.9053104855e-04
5.3144000000e-02,2.9007263947e-04,3.9671936975e-04,4.9397189287e-04,5.8732399339e-04,7.0845802838e-04,7.8480785305e-04
5.4144000000e-02,2.9732549592e-04,3.9933485823e-04,5.0438760809e-04,5.9964328102e-04,7.0827074524e-04,7.8694647527e-04
5.5144000000e-02,2.9939403248e-04,3.9688195102e-04,5.0113398174e-04,5.9228354075e-04,7.0180489274e-04,7.8771343397e-04
5.6144000000e-02,2.9684088076e-04,3.9182399632e-04,5.0595881476e-04,5.9263653384e-04,7.0717855124e-04,7.9731362348e-04
5.7144000000e-02,2.9461811209e-04,3.8526144635e-04,4.9555692385e-04,5.8686749981e-04,7.0501417213e-04,7.9272584117e-04
5.8144000000e-02,2.9592636565e-04,3.9584723709e-04,4.9940586905e-04,5.9395919379e-04,7.0630652772e-04,7.9708384874e-04
5.9144000000e-02,3.0317667552e-04,3.9459599066e-04,4.9710040912e-04,5.9101501392e-04,6.9369052653e-04,7.8636447142e-04
6.0144000000e-02,3.0438399335e-04,3.8725997001e-04,4.9906164350e-04,5.9212619817e-04,7.0032336225e-04,7.9185374489e-04
6.1144000000e-02,3.0859286198e-04,3.9131842641e-04,5.0141163229e-04,5.9928195697e-04,6.9591020292e-04,7.9031749920e-04
6.2144000000e-02,2.9607112083e-04,3.9047998143e-04,4.9653295719e-04,5.9885926021e-04,7.0579138992e-04,7.8783530626e-04
6.3144000000e-02,3.0279257771e-04,4.0240811359e-04,4.9525904615e-04,5.9542424424e-04,7.0204594522e-04,7.9127952631e-04
6.4144000000e-02,3.0021879866e-04,3.9811497118e-04,4.9049911468e-04,5.9498910559e-04,7.0229347330e-04,7.8745601058e-04
6.5144000000e-02,3.0641393096e-04,4.0485607315e-04,5.0114216720e-04,6.0108046455e-04,7.0463778684e-04,7.8804056102e-04
6.6144000000e-02,3.0285775210e-04,3.9455651859e-04,4.9622347433e-04,5.9682719439e-04,7.0067282650e-04,7.8340206528e-04
6.7144000000e-02,3.0366752981e-04,3.9897069655e-04,4.9668011343e-04,5.9633563069e-04,7.0392954512e-04,7.9543453467e-04
6.8144000000e-02,2.9911143429e-04,3.9674552681e-04,4.8879290262e-04,5.8547739172e-04,7.0447131293e-04,7.9111734522e-04
6.9144000000e-02,2.9215771065e-04,3.9817263314e-04,4.9533071433e-04,5.9349255025e-04,7.0956964919e-04,7.8849079728e-04
7.0144000000e-02,2.9398830520e-04,3.9758029743e-04,4.9455007684e-04,5.8415374951e-04,6.9865345722e-04,7.8221273725e-04
7.1144000000e-02,2.9815832022e-04,3.9345806726e-04,4.9801790738e-04,5.9355628764e-04,7.0241534559e-04,7.9030571214e-04
7.2144000000e-02,2.9884693504e-04,3.9097136323e-04,5.0373040722e-04,5.9160494857e-04,7.0267291449e-04,7.8870005382e-04
7.3144000000e-02,2.9013102903e-04,3.8619757106e-04,5.0485032261e-04,5.9252331994e-04,7.1059250331e-04,7.9122997704e-04
7.4144000000e-02,2.9511644243e-04,3.9836730139e-04,5.0133457989e-04,5.9286103351e-04,7.0248162956e-04,7.9411089246e-04
7.5144000000e-02,2.9504350096e-04,3.9352707972e-04,4.9707199651e-04,5.9177207731e-04,7.0438458351e-04,7.9472680227e-04
7.6144000000e-02,3.0564373446e-04,3.9775150071e-04,5.0383274356e-04,5.9587295254e-04,7.0123969635e-04,7.9486970208e-04
7.7144000000e-02,3.0436278394e-04,3.8594083890e-04,5.0166185247e-04,6.0006059357e-04,6.9879410148e-04,7.8728815424e-04
7.8144000000e-02,3.1097311876e-04,3.9540744183e-04,5.0002876378e-04,6.0145663156e-04,6.9610585342e-04,7.9490833741e-04
7.9144000000e-02,3.0405713915e-04,3.9471233322e-04,4.8924513976e-04,5.8744812122e-04,6.9797104516e-04,7.9370933236e-04
8.0144000000e-02,3.0159291782e-04,3.9691756683e-04,4.9452719395e-04,5.9322577727e-04,7.0410147600e-04,7.9222918430e-04
8.1144000000e-02,3.0312832678e-04,4.0204195102e-04,4.8797424824e-04,5.9603906266e-04,6.9692687248e-04,7.8203753219e-04
8.2144000000e-02,3.0595812859e-04,4.0195471229e-04,4.9753554777e-04,6.0083431890e-04,7.0001115091e-04,7.8779106843e-04
8.3144000000e-02,3.0383122066e-04,3.9727663534e-04,4.9610869610e-04,5.9434583818e-04,7.0099129516e-04,7.8395663877e-04
8.4144000000e-02,2.9565719160e-04,3.9435464714e-04,4.9589223636e-04,5.9566766140e-04,7.1061876952e-04,7.9427285527e-04
8.5144000000e-02,2.9385202652e-04,4.0513343265e-04,4.9540227337e-04,5.9658050304e-04,7.0649883128e-04,7.8901626694e-04
8.6144000000e-02,2.8962052966e-04,3.9974707761e-04,4.9396381655e-04,5.8701494709e-04,7.1073918662e-04,7.9004588770e-04
8.7144000000e-02,3.0253329896e-04,4.0120434278e-04,4.9831760407e-04,5.8867095504e-04,6.9907066063e-04,7.9270947026e-04
8.8144000000e-02,2.9607508623e-04,3.8962411054e-04,5.0056722102e-04,5.9191992477e-04,7.0594011049e-04,7.8826516983e-04
8.9144000000e-02,2.9655107937e-04,3.9400307287e-04,5.0452559663e-04,5.9751309891e-04,7.0211659477e-04,7.9227545939e-04
9.0144000000e-02,2.9260358133e-04,3.8810623664e-04,4.9421021686e-04,5.8703404648e-04,7.0311907621e-04,7.9155797721e-04
9.1144000000e-02,2.9659475331e-04,3.9516358811e-04,4.9860911531e-04,5.8971399994e-04,7.0642003266e-04,7.9623845522e-04
9.2144000000e-02,2.9638002161e-04,3.9396221837e-04,4.9892805691e-04,5.8976784203e-04,7.0194117143e-04,7.8418583144e-04
9.3144000000e-02,3.0148999940e-04,3.9330214349e-04,5.0609029131e-04,6.0248792579e-04,7.0013316872e-04,7.9046643805e-04
9.4144000000e-02,3.0667575629e-04,3.8898910134e-04,4.9926860811e-04,5.9497862821e-04,6.9664922194e-04,7.9185316281e-04
9.5144000000e-02,3.0658949981e-04,3.9519341954e-04,4.9995200243e-04,6.0458558437e-04,7.0627727837e-04,7.9941281001e-04
9.6144000000e-02,3.0162966141e-04,3.9570928493e-04,4.9643185775e-04,5.9361555032e-04,7.0272522862e-04,7.8960649262e-04
9.7144000000e-02,3.0075769246e-04,4.0153456212e-04,4.9172806030e-04,5.9539735958e-04,7.0208872785e-04,7.9180354078e-04
9.8144000000e-02,3.0929590139e-04,4.0198527131e-04,4.9103149649e-04,5.9550635342e-04,6.9402922236e-04,7.8884848335e-04
9.9144000000e-02,3.0333529139e-04,3.9031911001e-04,4.9416852562e-04,5.9742858866e-04,7.0261492510e-04,7.8567398305e-04
1.0014400000e-01,3.0480441637e-04,3.9893362555e-04,4.9834092351e-04,5.9583093389e-04,7.0061199949e-04,7.8648903582e-04
1.0114400000e-01,2.9298698792e-04,3.9627531805e-04,4.9101297918e-04,5.9173034970e-04,7.0478345151e-04,7.8579265391e-04
1.0214400000e-01,2.9508364605e-04,4.0216607886e-04,4.9255533668e-04,5.8999827161e-04,7.0561371103e-04,7.9178062151e-04
1.0314400000e-01,2.8841577659e-04,3.9802547690e-04,4.9524733186e-04,5.8869667555e-04,7.0713933383e-04,7.8683704487e-04
1.0414400000e-01,2.9540244213e-04,3.9877544623e-04,5.0575185014e-04,6.0288675741e-04,7.0840193075e-04,7.8851073340e-04
1.0514400000e-01,2.9809794796e-04,4.0215094486e-04,5.0176422519e-04,5.9326084738e-04,7.0069057983e-04,7.8984405263e-04
1.0614400000e-01,2.9886841730e-04,3.9592625399e-04,5.0762486353e-04,5.9288522607e-04,7.0809175668e-04,7.9925630416e-04
1.0714400000e-01,2.9678320061e-04,3.9761125663e-04,4.9800644774e-04,5.8640860516e-04,7.0591668191e-04,7.9411569459e-04
1.0814400000e-01,2.9790102417e-04,3.9204933273e-04,5.0062051741e-04,5.9309841163e-04,7.0397720265e-04,7.9738470959e-04
1.0914400000e-01,3.0492119549e-04,3.9819751692e-04,4.9762304116e-04,5.9088823036e-04,6.9595487730e-04,7.8683100583e-04
1.1014400000e-01,3.0626688385e-04,3.8964095438e-04,4.9952363042e-04,5.9328034695e-04,6.9967274612e-04,7.9320838267e-04
1.1114400000e-01,3.1084757211e-04,3.9436992665e-04,5.0045753596e-04,5.9945810790e-04,6.9391782745e-04,7.9116864072e-04
1.1214400000e-01,2.9830463973e-04,3.9222632040e-04,4.9615449825e-04,5.9939982748e-04,7.0549394877e-04,7.8919118096e-04
1.1314400000e-01,3.0582385079e-04,4.0398819692e-04,4.9332185881e-04,5.9954927565e-04,7.0059802965e-04,7.9183155322e-04
1.1414400000e-01,3.0315872209e-04,3.9990289224e-04,4.8989659263e-04,5.9283036535e-04,7.0254820457e-04,7.8987286543e-04
1.1514400000e-01,3.0924671591e-04,4.0749320760e-04,5.0046699471e-04,6.0385995312e-04,7.0434813097e-04,7.8961260442e-04
1.1614400000e-01,3.0549177609e-04,3.9634742279e-04,4.9527418014e-04,5.9794685512e-04,7.0180787588e-04,7.8537952504e-04
1.1714400000e-01,3.0527786294e-04,4.0131617425e-04,4.9573885917e-04,5.9595422499e-04,7.0536290877e-04,7.9729070421e-04
1.1814400000e-01,3.0087518098e-04,3.9642192860e-04,4.8800775403e-04,5.8673787862e-04,7.0553185651e-04,7.9152363469e-04
1.1914400000e-01,2.9495953640e-04,3.9900558477e-04,4.9469428632e-04,5.9203503042e-04,7.0899332059e-04,7.8961893450e-04
1.2014400000e-01,2.9577833629e-04,4.0002360038e-04,4.9543774367e-04,5.8532117691e-04,6.9863846875e-04,7.8212375229e-04
1.2114400000e-01,3.0017214158e-04,3.9447240852e-04,4.9836227845e-04,5.9268248151e-04,7.0457688707e-04,7.9097735579e-04
1.2214400000e-01,3.0149451050e-04,3.9414640923e-04,5.0294125685e-04,5.9241217969e-04,7.0481808507e-04,7.8891833255e-04
1.2314400000e-01,2.9297525543e-04,3.8874466554e-04,5.0457874750e-04,5.9317557316e-04,7.1067588578e-04,7.9310513684e-04
1.2414400000e-01,2.9831764550e-04,4.0010079829e-04,5.0042825023e-04,5.9576479543e-04,7.0302616223e-04,7.9469697084e-04
1.2514400000e-01,2.9864590033e-04,3.9793259930e-04,4.9763351853e-04,5.8919784351e-04,7.0580608735e-04,7.9546982306e-04
1.2614400000e-01,3.0933719245e-04,3.9548096538e-04,5.0382750487e-04,5.9593174228e-04,7.0216228778e-04,7.9721394286e-04
1.2714400000e-01,3.0678882467e-04,3.8854519516e-04,5.0142280088e-04,5.9746347688e-04,6.9876739872e-04,7.8888580902e-04
1.2814400000e-01,3.1416737329e-04,3.9166308852e-04,4.9974376452e-04,5.9874135331e-04,6.9748886744e-04,7.9564786574e-04
1.2914400000e-01,3.0636176234e-04,3.9259248297e-04,4.8936828534e-04,5.8859859564e-04,6.9796529715e-04,7.9377197835e-04
1.3014400000e-01,3.0449369660e-04,3.9692167775e-04,4.9410067732e-04,5.9721540310e-04,7.0262416557e-04,7.9263554653e-04
1.3114400000e-01,3.0513932870e-04,4.0196518967e-04,4.8803813115e-04,5.9339741711e-04,6.9778048783e-04,7.8293705883e-04
1.3214400000e-01,3.0770803278e-04,4.0347815229e-04,4.9784459407e-04,6.0105117882e-04,6.9964153226e-04,7.8749770182e-04
1.3314400000e-01,3.0693499866e-04,3.9791819290e-04,4.9493148254e-04,5.9497044276e-04,7.0029942435e-04,7.8426608525e-04
1.3414400000e-01,2.9982253182e-04,3.9909806219e-04,4.9602414947e-04,5.9638485254e-04,7.0987363870e-04,7.9494675447e-04
1.3514400000e-01,2.9785875086e-04,4.0307833842e-04,4.9613103329e-04,5.9494555899e-04,7.0523099566e-04,7.8925702837e-04
1.3614400000e-01,2.9328541132e-04,4.0808936319e-04,4.9597623729e-04,5.8822537540e-04,7.1079040936e-04,7.9122066381e-04
1.3714400000e-01,3.0362736652e-04,4.0789102059e-04,4.9914222473e-04,5.8895526308e-04,6.9913621701e-04,7.9308701970e-04
1.3814400000e-01,2.9712220567e-04,3.9986836782e-04,5.0023980293e-04,5.9175199567e-04,7.0592090196e-04,7.8933197074e-04
1.3914400000e-01,2.9992361306e-04,3.9984661271e-04,5.0408227253e-04,5.9761998273e-04,7.0272042649e-04,7.9305835243e-04
1.4014400000e-01,2.9273816835e-04,3.9286489482e-04,4.9411704822e-04,5.8673886087e-04,7.0093941758e-04,7.9326629930e-04
1.4114400000e-01,2.9705222914e-04,4.0377417463e-04,4.9838461564e-04,5.9033391153e-04,7.0512483944e-04,7.9709134297e-04
1.4214400000e-01,2.9693985198e-04,3.9781498344e-04,5.0659611588e-04,5.9218400565e-04,7.0158333983e-04,7.8625816968e-04
1.4314400000e-01,3.0155826607e-04,4.0243325202e-04,5.1282870118e-04,6.0428461438e-04,7.0153444540e-04,7.9102501331e-04
1.4414400000e-01,3.0650044209e-04,4.0085062210e-04,5.0721617299e-04,5.9975354816e-04,6.9637739216e-04,7.9259465565e-04
1.4514400000e-01,3.0608607631e-04,4.0060676838e-04,5.0150607422e-04,6.0394602770e-04,7.0711081207e-04,7.9997618741e-04
1.4614400000e-01,3.0152872569e-04,3.9784892579e-04,4.9762744311e-04,5.9588368458e-04,7.0200818300e-04,7.9104313045e-04
1.4714400000e-01,3.0008815884e-04,3.9998954890e-04,4.9195889005e-04,5.9463622165e-04,6.9995156082e-04,7.9301084043e-04
1.4814400000e-01,3.0900511774e-04,4.0239963710e-04,4.8940179113e-04,5.9531310399e-04,6.9209061621e-04,7.8911762103e-04
1.4914400000e-01,3.0399747629e-04,3.9316037146e-04,4.9329952162e-04,5.9545844124e-04,7.0189722464e-04,7.8710654634e-04
1.5014400000e-01,3.0437155147e-04,4.0109349356e-04,4.9672195019e-04,5.9825601056e-04,7.0063564635e-04,7.8657612903e-04
1.5114400000e-01,2.9325021387e-04,3.9418118831e-04,4.9113696150e-04,5.9386235080e-04,7.0478869020e-04,7.8587465396e-04
1.5214400000e-01,2.9594544685e-04,4.0413662646e-04,4.9300957471e-04,5.9075970057e-04,7.0677997428e-04,7.9207398812e-04
1.5314400000e-01,2.8913704227e-04,3.9780650695e-04,4.9397101975e-04,5.8735789935e-04,7.0794136263e-04,7.8681980085e-04
1.5414400000e-01,2.9568886021e-04,3.9841834223e-04,5.0375172577e-04,6.0254096752e-04,7.0695772592e-04,7.8809214756e-04
1.5514400000e-01,2.9867107514e-04,3.9681621274e-04,4.9959882745e-04,5.9293652157e-04,7.0087298809e-04,7.8895507613e-04
1.5614400000e-01,2.9788943721e-04,3.8976253563e-04,5.0659640692e-04,5.9324247559e-04,7.0770554885e-04,7.9832723713e-04
1.5714400000e-01,2.9659036954e-04,3.8759771996e-04,4.9709829909e-04,5.8662531956e-04,7.0720707299e-04,7.9337034549e-04
1.5814400000e-01,2.9696358979e-04,4.0031583922e-04,4.9921134632e-04,5.9571488237e-04,7.0566558861e-04,7.9757468484e-04
1.5914400000e-01,3.0373241316e-04,4.0393533709e-04,4.9719696108e-04,5.9123456595e-04,6.9437955972e-04,7.8661381849e-04
