# Saved on 2025-06-26T13:15:00.279790
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.1
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S)
1.8144000000e-02,3.8470654545e-04,4.8662685003e-04,5.9948877606e-04,7.1474707511e-04,7.9842844571e-04
1.9144000000e-02,3.8778984162e-04,4.8143261665e-04,5.9944282839e-04,7.1721442509e-04,7.9251069110e-04
2.0144000000e-02,3.8542089897e-04,4.8465964937e-04,6.0103833675e-04,7.1641792601e-04,8.0061079643e-04
2.1144000000e-02,3.8403431972e-04,4.8915328080e-04,6.0425689298e-04,7.0922120358e-04,7.9768484284e-04
2.2144000000e-02,3.8442973164e-04,4.8584970500e-04,5.9733189119e-04,7.1793947427e-04,7.9565332271e-04
2.3144000000e-02,3.9114751416e-04,4.8489462642e-04,6.0080958065e-04,7.1686241427e-04,7.8563047282e-04
2.4144000000e-02,3.9379738155e-04,4.8770973081e-04,6.0255777498e-04,7.1258538810e-04,7.9295219621e-04
2.5144000000e-02,3.9721289795e-04,4.9531347031e-04,6.1194550653e-04,7.0366040745e-04,7.8597331594e-04
2.6144000000e-02,3.8454298192e-04,4.9566704547e-04,6.0719416069e-04,7.0686881372e-04,7.9887642642e-04
2.7144000000e-02,3.9134883991e-04,4.9955924624e-04,6.1279875808e-04,7.0479349233e-04,7.9470097262e-04
2.8144000000e-02,3.8961647078e-04,4.8604510084e-04,6.0392991145e-04,7.1639886301e-04,7.9481826106e-04
2.9144000000e-02,3.9624985220e-04,4.9350182962e-04,6.0491653130e-04,7.0945716288e-04,7.9777571955e-04
3.0144000000e-02,3.9152695535e-04,4.8949990742e-04,6.0381513322e-04,7.1105954703e-04,7.9358214862e-04
3.1144000000e-02,3.9157686842e-04,4.9394093367e-04,6.0476741055e-04,7.1155096521e-04,7.9847101006e-04
3.2144000000e-02,3.8809012040e-04,4.9350579502e-04,6.0766789829e-04,7.0956441050e-04,7.9766126873e-04
3.3144000000e-02,3.8233152736e-04,4.9125275837e-04,6.0266509536e-04,7.1007860242e-04,8.0120749772e-04
3.4144000000e-02,3.8085094275e-04,4.8954712838e-04,5.9926045651e-04,7.1279231634e-04,7.8869466961e-04
3.5144000000e-02,3.8571848563e-04,4.8377638450e-04,5.9695357777e-04,7.1766393376e-04,7.9316341726e-04
3.6144000000e-02,3.8716032577e-04,4.8862355470e-04,6.0820326325e-04,7.1042210038e-04,7.9808763985e-04
3.7144000000e-02,3.7949041143e-04,4.8896483349e-04,6.0293325078e-04,7.1054098953e-04,8.0468547822e-04
3.8144000000e-02,3.8246525946e-04,4.8768131819e-04,6.0305115767e-04,7.1531096182e-04,7.9471537902e-04
3.9144000000e-02,3.8363268686e-04,4.8074853112e-04,5.9765901824e-04,7.2258037108e-04,7.9516212281e-04
4.0144000000e-02,3.9509432099e-04,4.8798439821e-04,6.0319889599e-04,7.1418471634e-04,7.9315403127e-04
4.1144000000e-02,3.9179696614e-04,4.8864829296e-04,6.0255100834e-04,7.1438007581e-04,7.8888522694e-04
4.2144000000e-02,3.9983544411e-04,4.9634858442e-04,6.0451347963e-04,7.0722278906e-04,7.8844532254e-04
4.3144000000e-02,3.9152851969e-04,4.9538233725e-04,6.0943770222e-04,7.0691741712e-04,7.8760967881e-04
4.4144000000e-02,3.8990925532e-04,4.9979578762e-04,6.1094186094e-04,7.0497058914e-04,7.9554563854e-04
4.5144000000e-02,3.9108617784e-04,4.9644429964e-04,6.0827223933e-04,7.0509049692e-04,7.8764489444e-04
4.6144000000e-02,3.9329155697e-04,4.9030302762e-04,6.0435897467e-04,7.1442882472e-04,7.8923345427e-04
4.7144000000e-02,3.9182978071e-04,4.9433561799e-04,6.1006481701e-04,7.0562724432e-04,7.8915240010e-04
4.8144000000e-02,3.8701753510e-04,4.9539252359e-04,6.0884860432e-04,7.0731024607e-04,8.0171419540e-04
4.9144000000e-02,3.8410176785e-04,4.9327973102e-04,6.0748086980e-04,7.0886846515e-04,7.9531295341e-04
5.0144000000e-02,3.8043093809e-04,4.8566820624e-04,5.9715701354e-04,7.1787122579e-04,8.0178724602e-04
5.1144000000e-02,3.9281781937e-04,4.8612044338e-04,6.0125152231e-04,7.1496884630e-04,7.8873330494e-04
5.2144000000e-02,3.8540067180e-04,4.8123314627e-04,5.9553010942e-04,7.1744580055e-04,7.9550714872e-04
5.3144000000e-02,3.8742793549e-04,4.9482983741e-04,6.0695285356e-04,7.0343019615e-04,7.9298282799e-04
5.4144000000e-02,3.7985781091e-04,4.8769827117e-04,6.0446654970e-04,7.1404108894e-04,7.9194622231e-04
5.5144000000e-02,3.8517067878e-04,4.9030430091e-04,6.0399961512e-04,7.1167509304e-04,7.9477373220e-04
5.6144000000e-02,3.8605070586e-04,4.8664183851e-04,6.0511942138e-04,7.1179114457e-04,7.9252706200e-04
5.7144000000e-02,3.9018181269e-04,4.8699057515e-04,6.0231421230e-04,7.1235364885e-04,7.9223413195e-04
5.8144000000e-02,3.9651295083e-04,4.8847170547e-04,6.0569083871e-04,7.1094575105e-04,7.8732802649e-04
5.9144000000e-02,3.9687529352e-04,4.9142283387e-04,6.0630198277e-04,7.1100657806e-04,7.9907295003e-04
6.0144000000e-02,3.9194103010e-04,4.9738300731e-04,6.1103506596e-04,7.0481313742e-04,7.9318742792e-04
6.1144000000e-02,3.9081376599e-04,4.9383346777e-04,5.9993788454e-04,7.1187962021e-04,7.9165569332e-04
6.2144000000e-02,3.9745336835e-04,4.9165821110e-04,6.0565900640e-04,7.1078880865e-04,7.8292083344e-04
6.3144000000e-02,3.9465805457e-04,4.9374582886e-04,6.0807305999e-04,7.0865076850e-04,7.9418125097e-04
6.4144000000e-02,3.9322469092e-04,4.9979887990e-04,6.1254220782e-04,6.9850859290e-04,7.9332909081e-04
6.5144000000e-02,3.8129077438e-04,4.9204245443e-04,6.0466009018e-04,7.0977956057e-04,7.9607729276e-04
6.6144000000e-02,3.8379810576e-04,4.9386275350e-04,6.0672395193e-04,7.0892914664e-04,7.9881421698e-04
6.7144000000e-02,3.7782505387e-04,4.8447574954e-04,6.0445087001e-04,7.1558104537e-04,8.0096251622e-04
6.8144000000e-02,3.8494970795e-04,4.8622674512e-04,6.0080110416e-04,7.1514841693e-04,8.0020050518e-04
6.9144000000e-02,3.8666723412e-04,4.8107987823e-04,5.9884452639e-04,7.1933893196e-04,7.9264667875e-04
7.0144000000e-02,3.8601989218e-04,4.8394391342e-04,6.0009017034e-04,7.1803297033e-04,8.0128396803e-04
7.1144000000e-02,3.8474980101e-04,4.9031419621e-04,6.0522586864e-04,7.1021640906e-04,7.9842873674e-04
7.2144000000e-02,3.8538655645e-04,4.8708006943e-04,5.9874022554e-04,7.1667847806e-04,7.9483084846e-04
7.3144000000e-02,3.9077331166e-04,4.8634959967e-04,6.0085170844e-04,7.1506190579e-04,7.8449993453e-04
7.4144000000e-02,3.9309616113e-04,4.8719484766e-04,6.0239617596e-04,7.1443078923e-04,7.8921773820e-04
7.5144000000e-02,3.9717993786e-04,4.9565333029e-04,6.1151993577e-04,7.0464797318e-04,7.8765660874e-04
7.6144000000e-02,3.8449816202e-04,4.9471123930e-04,6.0740636400e-04,7.0643647632e-04,8.0138437625e-04
7.7144000000e-02,3.9206333895e-04,4.9858859711e-04,6.1270489823e-04,7.0299138315e-04,7.9437581007e-04
7.8144000000e-02,3.8992566260e-04,4.8615933338e-04,6.0188922362e-04,7.1740469139e-04,7.9510115029e-04
7.9144000000e-02,3.9753860619e-04,4.9346112064e-04,6.0540187405e-04,7.0849695476e-04,7.9591263784e-04
8.0144000000e-02,3.9158549043e-04,4.9150326959e-04,6.0330465203e-04,7.1057424066e-04,7.9077086411e-04
8.1144000000e-02,3.9199490857e-04,4.9542006309e-04,6.0487611336e-04,7.0878777478e-04,7.9454257502e-04
8.2144000000e-02,3.8870195567e-04,4.9511952966e-04,6.0594968090e-04,7.0866262831e-04,7.9418270616e-04
8.3144000000e-02,3.8228303310e-04,4.9375259550e-04,6.0285350628e-04,7.1146176197e-04,8.0119141785e-04
8.4144000000e-02,3.8043108361e-04,4.8996771511e-04,5.9983511164e-04,7.1144524554e-04,7.8458644566e-04
8.5144000000e-02,3.8583271817e-04,4.8467692977e-04,5.9590856836e-04,7.1842281613e-04,7.8946075519e-04
8.6144000000e-02,3.8821424823e-04,4.8737525503e-04,6.0689715610e-04,7.1106958785e-04,7.9305471445e-04
8.7144000000e-02,3.8002930523e-04,4.8928402975e-04,6.0233214754e-04,7.1158981882e-04,8.0148587585e-04
8.8144000000e-02,3.8221856812e-04,4.8935344239e-04,6.0093061620e-04,7.1520014899e-04,7.9092977103e-04
8.9144000000e-02,3.8537578803e-04,4.7963578254e-04,5.9502810473e-04,7.2122325946e-04,7.9172590631e-04
9.0144000000e-02,3.9615275455e-04,4.8820551456e-04,6.0120586568e-04,7.1320893767e-04,7.8926481365e-04
9.1144000000e-02,3.9338301576e-04,4.8789748689e-04,6.0075926740e-04,7.1207490691e-04,7.8631608631e-04
9.2144000000e-02,3.9991136873e-04,4.9662608944e-04,6.0457921791e-04,7.0505018812e-04,7.8546734585e-04
9.3144000000e-02,3.9210292016e-04,4.9503483751e-04,6.0867107095e-04,7.0625836088e-04,7.8428522102e-04
9.4144000000e-02,3.9106653276e-04,5.0027771067e-04,6.0985417804e-04,7.0507310738e-04,7.9041572462e-04
9.5144000000e-02,3.9109960198e-04,4.9686404964e-04,6.0813061282e-04,7.0588721428e-04,7.8286386270e-04
9.6144000000e-02,3.9274189476e-04,4.9061221944e-04,6.0286427470e-04,7.1449387178e-04,7.8931909229e-04
9.7144000000e-02,3.9151691453e-04,4.9457510613e-04,6.1060090957e-04,7.0777663495e-04,7.9254416050e-04
9.8144000000e-02,3.8744390622e-04,4.9498070439e-04,6.0758193285e-04,7.0803849667e-04,8.0329707998e-04
9.9144000000e-02,3.8437530748e-04,4.9411239161e-04,6.0602473241e-04,7.0977206633e-04,7.9688004917e-04
1.0014400000e-01,3.8006848627e-04,4.8690464610e-04,5.9654797951e-04,7.1931252023e-04,8.0222751421e-04
1.0114400000e-01,3.9183487388e-04,4.8542828154e-04,6.0095873778e-04,7.1604954428e-04,7.8714569099e-04
1.0214400000e-01,3.8576683437e-04,4.8195583076e-04,5.9611254983e-04,7.1936206950e-04,7.9529934737e-04
1.0314400000e-01,3.8656740799e-04,4.9502890761e-04,6.0645874328e-04,7.0441201387e-04,7.8854442108e-04
1.0414400000e-01,3.8005306124e-04,4.8795853218e-04,6.0215883423e-04,7.1336857218e-04,7.8937046055e-04
1.0514400000e-01,3.8555717765e-04,4.8992980737e-04,6.0308735556e-04,7.1066795499e-04,7.9119257862e-04
1.0614400000e-01,3.8548238081e-04,4.8717745813e-04,6.0416896304e-04,7.1330578066e-04,7.9102544987e-04
1.0714400000e-01,3.8881011278e-04,4.8837686336e-04,6.0060192482e-04,7.1343107265e-04,7.9112825915e-04
1.0814400000e-01,3.9496382669e-04,4.8976497055e-04,6.0482874687e-04,7.1014488640e-04,7.8593162470e-04
1.0914400000e-01,3.9685055526e-04,4.9144051445e-04,6.0634680267e-04,7.1065696829e-04,7.9644727521e-04
1.1014400000e-01,3.9153375837e-04,4.9841386499e-04,6.1035207182e-04,7.0385634899e-04,7.9328041465e-04
1.1114400000e-01,3.9020953409e-04,4.9471251259e-04,6.0209153162e-04,7.0969785156e-04,7.8887562267e-04
1.1214400000e-01,3.9796708734e-04,4.9264668633e-04,6.0306898376e-04,7.0891452197e-04,7.8086392023e-04
1.1314400000e-01,3.9571266825e-04,4.9465412303e-04,6.0436392232e-04,7.0745321864e-04,7.9101751908e-04
1.1414400000e-01,3.9317477786e-04,5.0085505791e-04,6.1157072196e-04,6.9956389780e-04,7.9019489931e-04
1.1514400000e-01,3.8218393456e-04,4.9514583225e-04,6.0431360907e-04,7.0796282671e-04,7.9343626567e-04
1.1614400000e-01,3.8515623601e-04,4.9516816944e-04,6.0477079387e-04,7.0815593062e-04,7.9307246779e-04
1.1714400000e-01,3.7800135033e-04,4.8557321861e-04,6.0148577177e-04,7.1599948569e-04,7.9425233707e-04
1.1814400000e-01,3.8642519939e-04,4.8775284085e-04,5.9771104134e-04,7.1374983236e-04,7.9585435742e-04
1.1914400000e-01,3.8679827412e-04,4.8239999160e-04,5.9683115978e-04,7.1611932071e-04,7.8629578638e-04
1.2014400000e-01,3.8626021706e-04,4.8616864660e-04,5.9784419136e-04,7.1693466452e-04,7.9342156823e-04
1.2114400000e-01,3.8487578422e-04,4.9156857131e-04,6.0328526160e-04,7.0836023951e-04,7.9041979916e-04
1.2214400000e-01,3.8547575969e-04,4.8788093409e-04,5.9688514739e-04,7.1469403338e-04,7.9033838119e-04
1.2314400000e-01,3.9045495214e-04,4.8712827265e-04,5.9884325310e-04,7.1392460086e-04,7.7978664194e-04
1.2414400000e-01,3.9327896957e-04,4.8808986321e-04,5.9905320086e-04,7.1320995630e-04,7.8592325735e-04
1.2514400000e-01,3.9709651901e-04,4.9603248044e-04,6.0920756368e-04,7.0489455538e-04,7.8104909335e-04
1.2614400000e-01,3.8646463508e-04,4.9587812100e-04,6.0696049331e-04,7.0821646659e-04,7.9375713540e-04
1.2714400000e-01,3.9174949052e-04,4.9943824706e-04,6.1082020693e-04,7.0415037044e-04,7.8584620496e-04
1.2814400000e-01,3.9130332880e-04,4.8667279771e-04,5.9884368966e-04,7.1957329055e-04,7.8752113041e-04
1.2914400000e-01,3.9822185499e-04,4.9471804232e-04,6.0301848862e-04,7.0786038123e-04,7.8867349657e-04
1.3014400000e-01,3.9244430809e-04,4.9056627176e-04,6.0209378717e-04,7.1129761636e-04,7.8638993728e-04
1.3114400000e-01,3.9148751966e-04,4.9582537031e-04,6.0388723796e-04,7.0943518949e-04,7.8874370956e-04
1.3214400000e-01,3.8827911339e-04,4.9438411224e-04,6.0491158365e-04,7.0950263762e-04,7.8812961874e-04
1.3314400000e-01,3.8233647501e-04,4.9216927437e-04,6.0286907683e-04,7.1033660788e-04,7.9313824244e-04
1.3414400000e-01,3.8080826926e-04,4.9078127631e-04,6.0082427808e-04,7.0925678301e-04,7.8351120465e-04
1.3514400000e-01,3.8535457861e-04,4.8406040150e-04,5.9604102717e-04,7.1585905971e-04,7.8688877693e-04
1.3614400000e-01,3.8832691644e-04,4.8664831411e-04,6.0680878960e-04,7.1117166954e-04,7.8927812865e-04
1.3714400000e-01,3.8063521060e-04,4.8995047109e-04,6.0340869823e-04,7.1096372267e-04,7.9739984358e-04
1.3814400000e-01,3.8238158595e-04,4.8844671255e-04,5.9816808061e-04,7.1318179835e-04,7.8515477071e-04
1.3914400000e-01,3.8471232983e-04,4.8295303714e-04,5.9069778217e-04,7.2165355959e-04,7.8778808529e-04
1.4014400000e-01,3.9543614548e-04,4.8791967856e-04,6.0014783230e-04,7.1407062933e-04,7.8332639532e-04
1.4114400000e-01,3.9151254896e-04,4.8718749895e-04,5.9849324316e-04,7.1322647273e-04,7.8417673649e-04
1.4214400000e-01,3.9889575419e-04,4.9691720051e-04,6.0628091887e-04,7.0595480793e-04,7.7960627095e-04
1.4314400000e-01,3.8983744162e-04,4.9549500545e-04,6.0878897784e-04,7.0815920481e-04,7.8020028013e-04
1.4414400000e-01,3.9098835259e-04,5.0059465138e-04,6.1125232605e-04,7.0485111792e-04,7.8825403762e-04
1.4514400000e-01,3.9059475966e-04,4.9495793064e-04,6.0951122578e-04,7.0443929872e-04,7.8216377005e-04
1.4614400000e-01,3.9271715650e-04,4.9202746595e-04,6.0351980210e-04,7.1237569500e-04,7.8399862105e-04
1.4714400000e-01,3.9282193029e-04,4.9413785746e-04,6.0924176069e-04,7.0777117799e-04,7.8470744484e-04
1.4814400000e-01,3.8850179408e-04,4.9510876124e-04,6.0805257817e-04,7.0715417678e-04,7.9509336501e-04
1.4914400000e-01,3.8571099140e-04,4.9443995522e-04,6.0694790591e-04,7.0813475759e-04,7.9041514255e-04
1.5014400000e-01,3.8124791899e-04,4.8722315114e-04,5.9650556068e-04,7.1647009463e-04,7.9384946730e-04
1.5114400000e-01,3.9195547288e-04,4.8696201702e-04,6.0002414102e-04,7.1463662607e-04,7.7895623690e-04
1.5214400000e-01,3.8740785385e-04,4.8242036428e-04,5.9516041802e-04,7.1766509791e-04,7.8859346104e-04
1.5314400000e-01,3.8805534132e-04,4.9619393394e-04,6.0829799622e-04,7.0199886977e-04,7.8579047113e-04
1.5414400000e-01,3.7987279939e-04,4.8847723519e-04,6.0120117269e-04,7.1220507380e-04,7.8596807725e-04
1.5514400000e-01,3.8575199142e-04,4.9035068514e-04,6.0217509599e-04,7.0987363870e-04,7.8853518062e-04
1.5614400000e-01,3.8630078052e-04,4.8526217142e-04,6.0219503212e-04,7.1122354711e-04,7.8641227446e-04
1.5714400000e-01,3.8987462176e-04,4.8852954933e-04,6.0089427279e-04,7.1092938015e-04,7.8781340562e-04
1.5814400000e-01,3.9568014472e-04,4.8934623919e-04,6.0448139266e-04,7.0943846367e-04,7.8210345237e-04
1.5914400000e-01,3.9806393033e-04,4.9123820645e-04,6.0527436290e-04,7.1075744927e-04,7.9269178968e-04
1.6014400000e-01,3.9243626816e-04,4.9644630053e-04,6.0849659349e-04,7.0223934017e-04,7.8929042502e-04
1.6114400000e-01,3.9064212615e-04,4.9418817071e-04,6.0207232309e-04,7.0765068813e-04,7.8642995504e-04
1.6214400000e-01,3.9691487473e-04,4.9145026424e-04,6.0360984207e-04,7.0934074756e-04,7.7708900790e-04
1.6314400000e-01,3.9499562263e-04,4.9267338909e-04,6.0598445998e-04,7.0721755037e-04,7.8722558101e-04
1.6414400000e-01,3.9230675611e-04,4.9819926062e-04,6.1210943386e-04,6.9890200393e-04,7.8558718087e-04
1.6514400000e-01,3.8147962186e-04,4.9295416829e-04,6.0332258727e-04,7.0604233770e-04,7.9126199125e-04
1.6614400000e-01,3.8438989577e-04,4.9360416597e-04,6.0570553615e-04,7.0851841883e-04,7.9126948549e-04
1.6714400000e-01,3.7786903704e-04,4.8412006436e-04,5.9994043113e-04,7.1578317147e-04,7.9413788626e-04
1.6814400000e-01,3.8690795918e-04,4.8606474593e-04,5.9728692577e-04,7.1359288995e-04,7.9488017946e-04
1.6914400000e-01,3.8742920879e-04,4.8104950110e-04,5.9637481172e-04,7.1720154665e-04,7.8698125435e-04
1.7014400000e-01,3.8689326175e-04,4.8636233259e-04,5.9848574892e-04,7.1641326940e-04,7.9285040556e-04
1.7114400000e-01,3.8503028918e-04,4.9045091146e-04,6.0413476604e-04,7.0751826570e-04,7.9136996646e-04
1.7214400000e-01,3.8470145228e-04,4.8833488108e-04,5.9858964960e-04,7.1365000622e-04,7.9079909483e-04
1.7314400000e-01,3.9054557419e-04,4.8747861001e-04,5.9728183260e-04,7.1220638347e-04,7.8012424638e-04
1.7414400000e-01,3.9265862142e-04,4.8676862207e-04,6.0079473769e-04,7.1139053034e-04,7.8486817074e-04
1.7514400000e-01,3.9691898564e-04,4.9369537010e-04,6.1024336901e-04,7.0431546192e-04,7.8023178503e-04
1.7614400000e-01,3.8657632103e-04,4.9587528338e-04,6.0687918449e-04,7.0418034738e-04,7.9528224887e-04
1.7714400000e-01,3.9166043280e-04,4.9928923545e-04,6.1250117142e-04,7.0242465881e-04,7.8604185546e-04
1.7814400000e-01,3.9058206312e-04,4.8561814765e-04,5.9945810790e-04,7.1762180596e-04,7.9180768807e-04
1.7914400000e-01,3.9861231926e-04,4.9415099056e-04,6.0695256252e-04,7.0745460107e-04,7.9208759416e-04
1.8014400000e-01,3.9299891796e-04,4.9279511586e-04,6.0204558395e-04,7.0821064583e-04,7.8844546806e-04
1.8114400000e-01,3.9218248276e-04,4.9702914112e-04,6.0544072767e-04,7.0609559771e-04,7.9134253610e-04
1.8214400000e-01,3.8905807742e-04,4.9435031542e-04,6.0590329667e-04,7.0784437412e-04,7.9234116129e-04
1.8314400000e-01,3.8309335650e-04,4.9268979637e-04,6.0347101680e-04,7.0727226557e-04,7.9780431406e-04
1.8414400000e-01,3.8075002522e-04,4.9204245443e-04,6.0251026298e-04,7.0755064371e-04,7.8747958469e-04
1.8514400000e-01,3.8630671042e-04,4.8392765166e-04,5.9681769926e-04,7.1424903581e-04,7.8957709775e-04
1.8614400000e-01,3.8922575186e-04,4.8633788538e-04,6.0421465605e-04,7.0954352850e-04,7.9677425674e-04
1.8714400000e-01,3.8083810068e-04,4.8925929150e-04,6.0329672124e-04,7.0705158578e-04,8.0361671280e-04
1.8814400000e-01,3.8251346268e-04,4.9061349273e-04,6.0077269154e-04,7.0998161391e-04,7.9455152445e-04
1.8914400000e-01,3.8513433537e-04,4.8111523938e-04,5.9376565332e-04,7.1890252002e-04,7.9482815636e-04
1.9014400000e-01,3.9721544454e-04,4.8640515161e-04,6.0269743699e-04,7.1253263741e-04,7.8794328147e-04
1.9114400000e-01,3.9257789467e-04,4.8621404858e-04,6.0109854530e-04,7.1171089076e-04,7.8723292972e-04
1.9214400000e-01,4.0005230403e-04,4.9660502555e-04,6.0737951571e-04,7.0230264100e-04,7.8459830547e-04
1.9314400000e-01,3.9068327169e-04,4.9471760576e-04,6.0958020185e-04,7.0587666414e-04,7.8399665654e-04
1.9414400000e-01,3.9112252125e-04,5.0143666158e-04,6.1136823206e-04,7.0215806772e-04,7.9516874393e-04
1.9514400000e-01,3.9100941649e-04,4.9547703384e-04,6.0946753365e-04,7.0480818977e-04,7.8717566794e-04
1.9614400000e-01,3.9226550143e-04,4.9126676458e-04,6.0448579461e-04,7.1060363553e-04,7.8919496445e-04
